Measurement report of dcv_sheet_total,,,,,,
Generated by DesCoVer 2.6.0,,,,,,
Date,2016-10-10 10:43:21 -0500,Author,b48923,,,
,,,,,,
,,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_total - Mon Oct 10 10:43:26 CDT 2016,,,,,,
,,,,,,
,,,,,,
Setup: Parameters or device casing alteration,,,,,,
Err:510,,,,,,
risetime=1n start=45u ,,,,,,
,,,,,,
,,,,,,
amplitude,length,time,vin,v2p5,vclamp9,v1p0
-100,0.0000005,0,-2.0303E-011,-1.13661E-008,-0.535035,-4.18307E-006
-100,0.0000005,5.62746E-013,6.7406E-006,0.00000015,-0.535035,-3.98455E-006
-100,0.0000005,1.00649E-012,1.20481E-005,2.01503E-007,-0.535035,-0.000003902
-100,0.0000005,1.89398E-012,2.26474E-005,2.67544E-007,-0.535035,-3.77634E-006
-100,0.0000005,3.66897E-012,4.37528E-005,3.38848E-007,-0.535035,-3.6086E-006
-100,0.0000005,5.63009E-012,6.69273E-005,4.12125E-007,-0.535035,-0.000003462
-100,0.0000005,9.55233E-012,0.000112827,5.78354E-007,-0.535034,-0.000003217
-100,0.0000005,1.73968E-011,0.000202861,1.11027E-006,-0.535034,-2.7113E-006
-100,0.0000005,2.59438E-011,0.000298344,2.10245E-006,-0.535033,-1.99424E-006
-100,0.0000005,3.70172E-011,0.000418156,4.23392E-006,-0.535031,-6.72613E-007
-100,0.0000005,5.03302E-011,0.000556659,8.31521E-006,-0.535028,1.57178E-006
-100,0.0000005,6.66292E-011,0.000718526,1.59844E-005,-0.535022,5.3668E-006
-100,0.0000005,8.59197E-011,0.000900055,2.94244E-005,-0.535013,1.13637E-005
-100,0.0000005,1.08526E-010,0.00110045,5.19107E-005,-0.534998,2.04003E-005
-100,0.0000005,1.34575E-010,0.00131717,0.000087536,-0.534975,3.32595E-005
-100,0.0000005,1.64324E-010,0.00154955,0.000141345,-0.53494,5.06825E-005
-100,0.0000005,1.98029E-010,0.00179816,0.000218732,-0.534891,7.31633E-005
-100,0.0000005,2.36083E-010,0.00206656,0.000324797,-0.534822,0.000100887
-100,0.0000005,2.79035E-010,0.00236203,0.000462904,-0.53473,0.00013356
-100,0.0000005,3.27747E-010,0.00269737,0.000632639,-0.53461,0.000170331
-100,0.0000005,3.83624E-010,0.00309345,0.000826378,-0.534457,0.000209641
-100,0.0000005,4.4919E-010,0.00358499,0.00102323,-0.534263,0.000249285
-100,0.0000005,5.29757E-010,0.00423738,0.0011763,-0.534016,0.000286328
-100,0.0000005,6.15898E-010,0.00499408,0.0011937,-0.533753,0.000312317
-100,0.0000005,6.96152E-010,0.00574756,0.00106361,-0.533513,0.000326841
-100,0.0000005,7.75604E-010,0.00653132,0.000814777,-0.533279,0.000336285
-100,0.0000005,8.57254E-010,0.00737009,0.000478216,-0.533037,0.000345021
-100,0.0000005,9.48721E-010,0.00834836,7.45606E-005,-0.532757,0.000357349
-100,0.0000005,1.06695E-009,0.00968024,-0.000368417,-0.532371,0.000379059
-100,0.0000005,1.16511E-009,0.0108515,-0.000598958,-0.532031,0.000400384
