Measurement report of dcv_sheet_total,,,,,,
Generated by DesCoVer 2.6.0,,,,,,
Date,2016-10-11 03:47:34 -0500,Author,b48923,,,
,,,,,,
,,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_total - Tue Oct 11 03:47:55 CDT 2016,,,,,,
,,,,,,
,,,,,,
Setup: Parameters or device casing alteration,,,,,,
Err:510,,,,,,
risetime=1n start=45u ,,,,,,
,,,,,,
,,,,,,
amplitude,length,time,vin,v2p5,vclamp9,v1p0
-30,0.000001,1.02638E-007,1.22936,0.000103319,-0.375238,0.00430239
-30,0.000001,1.16457E-007,1.39527,0.000115848,-0.345623,0.00478811
-30,0.000001,1.30251E-007,1.56087,0.000126656,-0.315306,0.00522648
-30,0.000001,1.4582E-007,1.74776,0.000138939,-0.28058,0.00566233
-30,0.000001,0.000000162,1.94161,0.000151469,-0.244347,0.00604973
-30,0.000001,1.79312E-007,2.14975,0.00016371,-0.205629,0.00638914
-30,0.000001,2.01692E-007,2.41834,0.000180181,-0.15649,0.00671635
-30,0.000001,2.23778E-007,2.68338,0.000194335,-0.109268,0.00692174
-30,0.000001,2.48196E-007,2.97641,0.000211253,-0.0590894,0.00701271
-30,0.000001,2.77761E-007,3.33118,0.00022872,-0.00133306,0.00698732
-30,0.000001,3.0312E-007,3.63548,0.000245238,0.0454962,0.00687444
-30,0.000001,3.39793E-007,4.07555,0.000265213,0.107663,0.00650466
-30,0.000001,3.46551E-007,4.15665,0.000270651,0.118282,0.00639732
-30,0.000001,3.4993E-007,4.1972,0.000270243,0.123459,0.0063352
-30,0.000001,3.56689E-007,4.2783,0.000276867,0.133502,0.00619206
-30,0.000001,3.6394E-007,4.36533,0.000277776,0.143818,0.00600855
-30,0.000001,3.73873E-007,4.48451,0.000286436,0.15714,0.00570265
-30,0.000001,3.86118E-007,4.63145,0.000289715,0.172459,0.00524797
-30,0.000001,3.90201E-007,4.68044,0.000295221,0.177323,0.00507778
-30,0.000001,3.98367E-007,4.77841,0.000296258,0.187301,0.00475026
-30,0.000001,4.08214E-007,4.89649,0.000304723,0.202177,0.00446885
-30,0.000001,4.14576E-007,4.97269,0.000305048,0.216445,0.00447072
-30,0.000001,4.21432E-007,5.0547,0.000311722,0.241344,0.00478544
-30,0.000001,4.29572E-007,5.15189,0.000313451,0.292671,0.00571904
-30,0.000001,4.36708E-007,5.23692,0.000320019,0.36525,0.00696425
-30,0.000001,4.45668E-007,5.3436,0.00032267,0.503067,0.00867475
-30,0.000001,4.5339E-007,5.43558,0.000328972,0.668544,0.0100373
-30,0.000001,4.59681E-007,5.5106,0.000330702,0.836014,0.0111909
-30,0.000001,4.67794E-007,5.6075,0.000336921,1.09068,0.0128473
-30,0.000001,4.69718E-007,5.63052,0.00033712,1.15687,0.0132609
-30,0.000001,4.73568E-007,5.67657,0.000339686,1.29433,0.0140869
-30,0.000001,4.74419E-007,5.68676,0.000340645,1.32557,0.0142698
-30,0.000001,4.74844E-007,5.69186,0.000340971,1.34131,0.0143599
-30,0.000001,4.75696E-007,5.70205,0.000340139,1.37304,0.0145412
-30,0.000001,0.000000476,5.70552,0.000340655,1.3839,0.0146029
-30,0.000001,4.76564E-007,5.71245,0.00034265,1.40571,0.0147268
-30,0.000001,4.77722E-007,5.72632,0.000341243,1.44967,0.0149721
-30,0.000001,4.79655E-007,5.74948,0.000344037,1.52394,0.0153766
-30,0.000001,4.8041E-007,5.75851,0.00034409,1.55319,0.0155321
