# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S12[dB]	Trc3_S21[dB]	Trc4_S22[dB]	
4.890912825651303E+008	-2.231544785411395E+000	-1.837337737207707E+001	-1.528266589681218E+001	-3.410839917759938E+000	
4.930989979959920E+008	-2.507090473776475E+000	-1.835148801866223E+001	-1.519772281666097E+001	-3.365826070072654E+000	
4.971067134268537E+008	-2.803972235846414E+000	-1.833146682034349E+001	-1.516372708449696E+001	-3.316991298127651E+000	
5.011144288577154E+008	-3.094164710847955E+000	-1.824700514450098E+001	-1.512385668436882E+001	-3.283373720123465E+000	
5.051221442885772E+008	-3.408398206086173E+000	-1.801194468359389E+001	-1.498871983473976E+001	-3.262444922168891E+000	
5.091298597194389E+008	-3.670807278148186E+000	-1.772266348500517E+001	-1.483702697445021E+001	-3.250405597680850E+000	
5.131375751503006E+008	-3.905556302453826E+000	-1.744000471972397E+001	-1.475079962841172E+001	-3.245703416311004E+000	
5.171452905811623E+008	-4.161489184897596E+000	-1.714384481027885E+001	-1.469559369230649E+001	-3.250373878622461E+000	
5.211530060120240E+008	-4.387576161951474E+000	-1.680937014154694E+001	-1.459488211077687E+001	-3.257494538300839E+000	
5.251607214428858E+008	-4.548985254523170E+000	-1.645727605203247E+001	-1.449012172546374E+001	-3.274470854868695E+000	
5.291684368737475E+008	-4.701517570314114E+000	-1.617265066827570E+001	-1.446277971739084E+001	-3.295526992481279E+000	
5.331761523046092E+008	-4.818104696866448E+000	-1.597797650380462E+001	-1.453043180704738E+001	-3.313329469681022E+000	
5.371838677354710E+008	-4.944945619806591E+000	-1.590549835401288E+001	-1.470278338601098E+001	-3.325744904581270E+000	
5.411915831663327E+008	-5.026943954739516E+000	-1.599806011623131E+001	-1.503188378520071E+001	-3.339000064767645E+000	
5.451992985971944E+008	-5.147162190139643E+000	-1.621577538694570E+001	-1.547358475543670E+001	-3.348917064839411E+000	
5.492070140280561E+008	-5.280236832958211E+000	-1.650968297230034E+001	-1.596473694672194E+001	-3.361041463365132E+000	
5.532147294589179E+008	-5.427716343883113E+000	-1.675547639963348E+001	-1.635802176036103E+001	-3.369430902336441E+000	
5.572224448897796E+008	-5.552694426245240E+000	-1.697428965111376E+001	-1.667954925402039E+001	-3.384515248491577E+000	
5.612301603206413E+008	-5.668905502090984E+000	-1.718581539806455E+001	-1.695779698056618E+001	-3.396179561710158E+000	
5.652378757515030E+008	-5.771185187943848E+000	-1.739630408567540E+001	-1.720514059439181E+001	-3.405431788372883E+000	
5.692455911823647E+008	-5.897117259514558E+000	-1.760657327657214E+001	-1.742598641723755E+001	-3.412084473938764E+000	
5.732533066132265E+008	-6.003918124628829E+000	-1.781386881933846E+001	-1.762236744429465E+001	-3.416218874028590E+000	
5.772610220440882E+008	-6.139817050038650E+000	-1.804902819669343E+001	-1.785074625188634E+001	-3.415268638004689E+000	
5.812687374749500E+008	-6.287876461072814E+000	-1.821304993801034E+001	-1.800275870593500E+001	-3.414424979863917E+000	
5.852764529058117E+008	-6.425149343272880E+000	-1.836361446210255E+001	-1.816342786759663E+001	-3.414682150222375E+000	
5.892841683366734E+008	-6.573354437596041E+000	-1.845368746986891E+001	-1.829358118801444E+001	-3.428151471072276E+000	
5.932918837675351E+008	-6.714002084556955E+000	-1.845452739685432E+001	-1.837532939126845E+001	-3.449314531436695E+000	
5.972995991983968E+008	-6.871795820855538E+000	-1.843468370039275E+001	-1.848537895359089E+001	-3.467522457090630E+000	
6.013073146292585E+008	-7.029757575124203E+000	-1.841412378171119E+001	-1.862662580624263E+001	-3.483277979853281E+000	
6.053150300601202E+008	-7.187784701589556E+000	-1.838040984555075E+001	-1.879019100781394E+001	-3.499249945165659E+000	
6.093227454909819E+008	-7.352106268680450E+000	-1.834214533289563E+001	-1.896430388221588E+001	-3.518497503002074E+000	
6.133304609218438E+008	-7.515988436051590E+000	-1.841643565623843E+001	-1.925910179280319E+001	-3.545408227471835E+000	
6.173381763527055E+008	-7.681788290360085E+000	-1.855924732895733E+001	-1.962136161965664E+001	-3.581379080057156E+000	
6.213458917835672E+008	-7.851242245606869E+000	-1.873845915990732E+001	-2.001377453588340E+001	-3.627357712384557E+000	
6.253536072144289E+008	-8.025077773830310E+000	-1.888560113914977E+001	-2.036708739036191E+001	-3.674188590967480E+000	
6.293613226452906E+008	-8.207318745713620E+000	-1.910444201628458E+001	-2.076836478382400E+001	-3.706993569835614E+000	
6.333690380761523E+008	-8.402996536922803E+000	-1.932363108383170E+001	-2.116054365440476E+001	-3.751460679242324E+000	
6.373767535070140E+008	-8.605178353853596E+000	-1.944852933540683E+001	-2.144683799367196E+001	-3.813315805158388E+000	
6.413844689378758E+008	-8.819084444823670E+000	-1.951896448839819E+001	-2.166351921291798E+001	-3.872907537487260E+000	
6.453921843687375E+008	-9.036100435301185E+000	-1.953857602095160E+001	-2.181055624072113E+001	-3.921664294894814E+000	
6.493998997995992E+008	-9.257842100883041E+000	-1.955281746370596E+001	-2.193681305570607E+001	-3.959925865880906E+000	
6.534076152304610E+008	-9.484342351782917E+000	-1.955035775566320E+001	-2.201807844943744E+001	-3.987228557215457E+000	
6.574153306613227E+008	-9.712444941186302E+000	-1.955243310244574E+001	-2.208837592057829E+001	-3.998557582574898E+000	
6.614230460921844E+008	-9.943080555305546E+000	-1.950969457720915E+001	-2.208610376867360E+001	-4.016047503882517E+000	
6.654307615230461E+008	-1.017802165916731E+001	-1.939599487379554E+001	-2.198169304634191E+001	-4.022463254345267E+000	
6.694384769539079E+008	-1.040953676463842E+001	-1.919183866964390E+001	-2.175707603938779E+001	-4.021958570838948E+000	
6.734461923847696E+008	-1.061802300218169E+001	-1.888208685646656E+001	-2.139623267257710E+001	-4.016795730126110E+000	
6.774539078156313E+008	-1.078542486649384E+001	-1.851418098915286E+001	-2.095915788614830E+001	-4.018257515857940E+000	
6.814616232464930E+008	-1.091462767358481E+001	-1.819124019851258E+001	-2.057013379443581E+001	-3.999209895538250E+000	
6.854693386773547E+008	-1.101645457939240E+001	-1.795226116637290E+001	-2.028508987423637E+001	-3.951572699142139E+000	
6.894770541082164E+008	-1.110879679172785E+001	-1.772826694560414E+001	-2.002601286257039E+001	-3.900423973963184E+000	
6.934847695390782E+008	-1.118536545530049E+001	-1.756609302598185E+001	-1.985033719130002E+001	-3.840584026331486E+000	
6.974924849699400E+008	-1.125623204182899E+001	-1.750180191777462E+001	-1.979151582182348E+001	-3.788684627133239E+000	
7.015002004008017E+008	-1.131708724192072E+001	-1.744903791448544E+001	-1.976762083086026E+001	-3.733150791233809E+000	
7.055079158316634E+008	-1.136915834744216E+001	-1.751001631408992E+001	-1.987079804703794E+001	-3.662993639771225E+000	
7.095156312625251E+008	-1.141007329077121E+001	-1.776134763294690E+001	-2.019822937759230E+001	-3.584030110227577E+000	
7.135233466933868E+008	-1.145481931439210E+001	-1.811007435702357E+001	-2.064473581277940E+001	-3.518754853155269E+000	
7.175310621242485E+008	-1.149787814394910E+001	-1.853080391519184E+001	-2.119592624538652E+001	-3.459323264511896E+000	
7.215387775551102E+008	-1.155509951276464E+001	-1.897696814054851E+001	-2.179234595726327E+001	-3.404043281324253E+000	
7.255464929859719E+008	-1.162909223087381E+001	-1.941386268051241E+001	-2.239647969688729E+001	-3.352413434910357E+000	
7.295542084168336E+008	-1.171814589510536E+001	-1.986063851041209E+001	-2.302304408264132E+001	-3.306164261642211E+000	
7.335619238476955E+008	-1.181546963578670E+001	-2.033993116272874E+001	-2.368848286958563E+001	-3.269744788305613E+000	
7.375696392785572E+008	-1.193783071470207E+001	-2.080175905671379E+001	-2.434480942552861E+001	-3.245955875244718E+000	
7.415773547094189E+008	-1.207706932703471E+001	-2.118167792777805E+001	-2.490259679995675E+001	-3.234995967840290E+000	
7.455850701402806E+008	-1.223031591025873E+001	-2.146884837249932E+001	-2.535445309790597E+001	-3.226481922563268E+000	
7.495927855711423E+008	-1.239481431926144E+001	-2.170646471502272E+001	-2.573025857145091E+001	-3.213137558968191E+000	
7.536005010020040E+008	-1.256700748297078E+001	-2.190030693792050E+001	-2.603561476395165E+001	-3.194604796308106E+000	
7.576082164328657E+008	-1.274344744148014E+001	-2.204071790962553E+001	-2.624366866745978E+001	-3.171665780611551E+000	
7.616159318637275E+008	-1.291263788774605E+001	-2.216457955135548E+001	-2.639432367387048E+001	-3.145343876990113E+000	
7.656236472945892E+008	-1.308078812604602E+001	-2.234736001885692E+001	-2.658988024888580E+001	-3.117905336275809E+000	
7.696313627254510E+008	-1.324588697367416E+001	-2.252249394307579E+001	-2.675891811982424E+001	-3.092930421174162E+000	
7.736390781563127E+008	-1.340716739060523E+001	-2.267426421003725E+001	-2.689593245954632E+001	-3.071781633600576E+000	
7.776467935871744E+008	-1.355889848973079E+001	-2.275099040232269E+001	-2.693696925156764E+001	-3.060562825206603E+000	
7.816545090180361E+008	-1.369668871112091E+001	-2.278600534237038E+001	-2.692517045381006E+001	-3.052440409230986E+000	
7.856622244488978E+008	-1.381817102799011E+001	-2.281889739572489E+001	-2.690335186372486E+001	-3.048947771798240E+000	
7.896699398797596E+008	-1.392957129726112E+001	-2.280038081911727E+001	-2.683486671962315E+001	-3.052234192712720E+000	
7.936776553106213E+008	-1.402682698745826E+001	-2.275655160247931E+001	-2.676058524825530E+001	-3.055191010689611E+000	
7.976853707414830E+008	-1.411047936327783E+001	-2.276727803960700E+001	-2.675253883925309E+001	-3.050590052389583E+000	
8.016930861723447E+008	-1.418766464953852E+001	-2.281789870381132E+001	-2.681401644537835E+001	-3.049680687917288E+000	
8.057008016032064E+008	-1.426052364552995E+001	-2.284208902553498E+001	-2.688561334192185E+001	-3.053320414195520E+000	
8.097085170340682E+008	-1.433355149603011E+001	-2.280492390508208E+001	-2.691412532934074E+001	-3.063900837179832E+000	
8.137162324649299E+008	-1.441289447006106E+001	-2.277011316436087E+001	-2.697608353105486E+001	-3.075286592806119E+000	
8.177239478957917E+008	-1.450958150972424E+001	-2.262858506351931E+001	-2.696058979058130E+001	-3.094988349730856E+000	
8.217316633266534E+008	-1.461316908682512E+001	-2.250221437171027E+001	-2.698288777897312E+001	-3.103670224044448E+000	
8.257393787575151E+008	-1.472599997848431E+001	-2.249078501293929E+001	-2.713848358196113E+001	-3.097197312673663E+000	
8.297470941883768E+008	-1.485507848558956E+001	-2.249889810202003E+001	-2.733120736144498E+001	-3.098300690963501E+000	
8.337548096192385E+008	-1.499740618672556E+001	-2.245203415803409E+001	-2.745332963385186E+001	-3.109017272028935E+000	
8.377625250501002E+008	-1.516433631722275E+001	-2.241878246695235E+001	-2.758139782797240E+001	-3.121470608332461E+000	
8.417702404809619E+008	-1.534548324430619E+001	-2.226874650778373E+001	-2.755469339428178E+001	-3.139529026516795E+000	
8.457779559118236E+008	-1.553631397158482E+001	-2.210262003470079E+001	-2.748099383452504E+001	-3.155266411672332E+000	
8.497856713426855E+008	-1.573783309989996E+001	-2.196347354251930E+001	-2.739222109981481E+001	-3.174947732388838E+000	
8.537933867735472E+008	-1.595139846547452E+001	-2.172394312474070E+001	-2.717157818207576E+001	-3.202129309481546E+000	
8.578011022044089E+008	-1.616810624369753E+001	-2.152576077685650E+001	-2.695169139421120E+001	-3.227568562115974E+000	
8.618088176352706E+008	-1.638451641670712E+001	-2.131886719821934E+001	-2.670201963857697E+001	-3.260499979150656E+000	
8.658165330661323E+008	-1.659433113786785E+001	-2.111965627595387E+001	-2.645376310041654E+001	-3.293699058866425E+000	
8.698242484969940E+008	-1.679465968796951E+001	-2.095006922061890E+001	-2.623133610244219E+001	-3.320321388829447E+000	
8.738319639278557E+008	-1.698891674019276E+001	-2.075436065881118E+001	-2.599028472151228E+001	-3.350385622739947E+000	
8.778396793587174E+008	-1.716727844427927E+001	-2.056832599226853E+001	-2.576182133087272E+001	-3.378418620446387E+000	
8.818473947895792E+008	-1.733498804375213E+001	-2.039620916637479E+001	-2.556258781686707E+001	-3.392762681452378E+000	
8.858551102204409E+008	-1.747618409336510E+001	-2.029496058398362E+001	-2.544804543215665E+001	-3.387679941472487E+000	
8.898628256513027E+008	-1.759766156649323E+001	-2.027160655786553E+001	-2.542402271902317E+001	-3.361258682766655E+000	
8.938705410821644E+008	-1.769620922874056E+001	-2.032024763765068E+001	-2.549487160897284E+001	-3.318479295288538E+000	
8.978782565130261E+008	-1.778487530332171E+001	-2.041476158030675E+001	-2.563574979090130E+001	-3.268201837785157E+000	
9.018859719438878E+008	-1.786249050712580E+001	-2.048892277194638E+001	-2.576371556636774E+001	-3.224429222252955E+000	
9.058936873747495E+008	-1.793328851138374E+001	-2.053175724073995E+001	-2.588148575034421E+001	-3.180308200737674E+000	
9.099014028056113E+008	-1.800434282958695E+001	-2.056132082995958E+001	-2.598891945138953E+001	-3.145237223453841E+000	
9.139091182364730E+008	-1.808249488738374E+001	-2.057440266670338E+001	-2.609330070429568E+001	-3.116944610473268E+000	
