# Version 1.00
#
freq[Hz]	Trc4_S21[dB]	Trc7_S21[°]	
1.938496892112127E+007	-4.523949583948438E+001	8.870528749544448E+001	
1.975747856106976E+007	-4.515368284798192E+001	8.915953572885547E+001	
2.013714650147357E+007	-4.492862980438211E+001	8.886346504159987E+001	
2.052411029921692E+007	-4.468042419111353E+001	8.951098335818793E+001	
2.091851015453441E+007	-4.457893573530177E+001	8.956713018701829E+001	
2.132048896180678E+007	-4.434546081338880E+001	9.037531203139082E+001	
2.173019236133273E+007	-4.409956378973168E+001	9.036999703247803E+001	
2.214776879209562E+007	-4.392022450025529E+001	9.124981159527906E+001	
2.257336954554417E+007	-4.366528877149077E+001	9.197357686653888E+001	
2.300714882040660E+007	-4.332950438734076E+001	9.324519589639877E+001	
2.344926377855816E+007	-4.282266311121134E+001	9.503377263130086E+001	
2.389987460196218E+007	-4.197433893513838E+001	9.785747928510197E+001	
2.435914455070533E+007	-3.978729656482052E+001	9.744373666592570E+001	
2.482724002214813E+007	-3.878054002571354E+001	6.809414573275497E+001	
2.530433061121213E+007	-4.193847349992689E+001	6.623361046974648E+001	
2.579058917182554E+007	-4.268164915884726E+001	7.241870858508288E+001	
2.628619187954968E+007	-4.274934085609138E+001	7.592548974904263E+001	
2.679131829540887E+007	-4.262701152982292E+001	7.798618801674580E+001	
2.730615143094689E+007	-4.250994098206299E+001	7.929686370187875E+001	
2.783087781453361E+007	-4.237271122719054E+001	8.014090014808652E+001	
2.836568755894575E+007	-4.220847656008971E+001	8.084075303131934E+001	
2.891077443024639E+007	-4.199643031597450E+001	8.109247330107529E+001	
2.946633591798800E+007	-4.184967069143618E+001	8.124909688466759E+001	
3.003257330676458E+007	-4.171589841790311E+001	8.187390729450397E+001	
3.060969174913875E+007	-4.154564657932679E+001	8.181260036553644E+001	
3.119790033997029E+007	-4.139545718351280E+001	8.200967396952942E+001	
3.179741219217288E+007	-4.124253252776044E+001	8.235704363806838E+001	
3.240844451392677E+007	-4.108243738010891E+001	8.262458654751052E+001	
3.303121868737513E+007	-4.090891903650997E+001	8.263998397264987E+001	
3.366596034883259E+007	-4.076367847308958E+001	8.245848051341200E+001	
3.431289947053526E+007	-4.062254514459981E+001	8.267939141048888E+001	
3.497227044396152E+007	-4.044640812763342E+001	8.241822479685152E+001	
3.564431216475411E+007	-4.027505691018346E+001	8.232122024415517E+001	
3.632926811927395E+007	-4.015691531469696E+001	8.229169987018442E+001	
3.702738647281732E+007	-3.996384030891498E+001	8.240933555204379E+001	
3.773892015952827E+007	-3.979943177819314E+001	8.235123348301352E+001	
3.846412697403872E+007	-3.966133337582929E+001	8.226407408005312E+001	
3.920326966486967E+007	-3.943402184621318E+001	8.243218136488625E+001	
3.995661602962718E+007	-3.926671472926540E+001	8.231312079636780E+001	
4.072443901202768E+007	-3.907465335048277E+001	8.235656529975788E+001	
4.150701680078778E+007	-3.888403302467378E+001	8.264298962725205E+001	
4.230463293041441E+007	-3.872878680688521E+001	8.255999695626998E+001	
4.311757638393169E+007	-3.852495231158278E+001	8.248425082107195E+001	
4.394614169758196E+007	-3.835760820051603E+001	8.229753933011071E+001	
4.479062906753873E+007	-3.816147364018102E+001	8.235301752052415E+001	
4.565134445867024E+007	-3.803211632945389E+001	8.203116978784509E+001	
4.652859971539313E+007	-3.786592971719076E+001	8.160754442512335E+001	
4.742271267465629E+007	-3.767449104324307E+001	8.142344608081800E+001	
4.833400728109587E+007	-3.754874796460135E+001	8.130175828945893E+001	
4.926281370440310E+007	-3.737932401034617E+001	8.104996552001471E+001	
5.020946845894758E+007	-3.721736809998930E+001	8.073368200744069E+001	
5.117431452569927E+007	-3.701092217129574E+001	8.036210280967163E+001	
5.215770147649331E+007	-3.681898895941422E+001	7.989756838916657E+001	
5.315998560068293E+007	-3.666685684501925E+001	7.899347761965767E+001	
5.418153003422601E+007	-3.653640696618188E+001	7.770979078317187E+001	
5.522270489125230E+007	-3.665682614572282E+001	7.574594250492508E+001	
5.628388739815889E+007	-3.705326631216961E+001	7.695780256532208E+001	
5.736546203028250E+007	-3.677530739253025E+001	8.013746832827059E+001	
5.846782065119810E+007	-3.686942105714768E+001	8.054496435872835E+001	
5.959136265469441E+007	-3.636465221975168E+001	8.278701265991968E+001	
6.073649510947762E+007	-3.600345898372058E+001	8.252214730553503E+001	
6.190363290665577E+007	-3.573938445805354E+001	8.216160940473613E+001	
6.309319891005732E+007	-3.553133091599801E+001	8.188145589121987E+001	
6.430562410943825E+007	-3.533527673466524E+001	8.149148382824178E+001	
6.554134777663327E+007	-3.513959224005249E+001	8.129119084903672E+001	
6.680081762470770E+007	-3.497071458493972E+001	8.104315500170833E+001	
6.808448997016767E+007	-3.478541380238277E+001	8.082000088372961E+001	
6.939282989828742E+007	-3.461288300048756E+001	8.066703278097984E+001	
7.072631143161361E+007	-3.444646948954212E+001	8.047196734751032E+001	
7.208541770170769E+007	-3.427995088992081E+001	8.030329233368320E+001	
7.347064112418848E+007	-3.410895782674283E+001	8.007638687865675E+001	
7.488248357713850E+007	-3.392928662480279E+001	7.999151863137746E+001	
7.632145658293864E+007	-3.375286266110775E+001	7.979600445645035E+001	
7.778808149359699E+007	-3.358280497925539E+001	7.959820692304936E+001	
7.928288967963906E+007	-3.341328956941632E+001	7.941239904987337E+001	
8.080642272262779E+007	-3.325843597739897E+001	7.917081990750687E+001	
8.235923261138308E+007	-3.309707223105015E+001	7.908840152964750E+001	
8.394188194197202E+007	-3.292694958729506E+001	7.893766378980217E+001	
8.555494412154210E+007	-3.275450869246559E+001	7.866742606309435E+001	
8.719900357607152E+007	-3.259282256392896E+001	7.847537178973036E+001	
8.887465596211156E+007	-3.242805110757715E+001	7.819321471055119E+001	
9.058250838259801E+007	-3.224848473695299E+001	7.804243473699295E+001	
9.232317960680963E+007	-3.208663063459488E+001	7.777336240233522E+001	
9.409730029455344E+007	-3.191586963760470E+001	7.752926664700246E+001	
9.590551322465812E+007	-3.176299785749239E+001	7.719096787953498E+001	
9.774847352785811E+007	-3.158998576374342E+001	7.691270491283711E+001	
9.962684892415306E+007	-3.142575447663187E+001	7.661407150978343E+001	
1.015413199647283E+008	-3.128561171495649E+001	7.614155045532822E+001	
1.034925802785244E+008	-3.116474826505944E+001	7.572256922601014E+001	
1.054813368235446E+008	-3.104371213288261E+001	7.538786264693468E+001	
1.075083101429917E+008	-3.091009857077242E+001	7.526397306722454E+001	
1.095742346263269E+008	-3.080067966574808E+001	7.499688863070013E+001	
1.116798587753453E+008	-3.068960353546459E+001	7.470221383972536E+001	
1.138259454753643E+008	-3.056327246639815E+001	7.461557554606831E+001	
1.160132722716237E+008	-3.043732413239208E+001	7.439470037827668E+001	
1.182426316509963E+008	-3.034745122644662E+001	7.420617890783595E+001	
1.205148313291130E+008	-3.029727498196245E+001	7.367424349847057E+001	
1.228306945430048E+008	-3.032251307292065E+001	7.365288599106115E+001	
1.251910603493685E+008	-3.041930060129043E+001	7.463950509783815E+001	
1.275967839285639E+008	-3.041463503831690E+001	7.622447341679512E+001	
1.300487368944531E+008	-3.040008862183177E+001	7.904965306097374E+001	
1.325478076101933E+008	-3.000512529495433E+001	8.368476934077336E+001	
1.350949015100982E+008	-2.906308245234679E+001	8.649871950337128E+001	
1.376909414276846E+008	-2.809643754497196E+001	8.459445705916417E+001	
1.403368679300227E+008	-2.760115599938301E+001	8.228448871721241E+001	
1.430336396585114E+008	-2.702803019531810E+001	8.031957289806501E+001	
1.457822336762020E+008	-2.663542295515369E+001	7.645806343770735E+001	
1.485836458217969E+008	-2.648617632764137E+001	7.301407666612096E+001	
1.514388910704495E+008	-2.653858897383261E+001	7.027948887032184E+001	
1.543490039014990E+008	-2.660154614947456E+001	6.898922790607266E+001	
1.573150386732705E+008	-2.660730466059448E+001	6.822392719020975E+001	
1.603380700050779E+008	-2.658145548517820E+001	6.758535569116866E+001	
1.634191931665677E+008	-2.649898183816899E+001	6.725007530467384E+001	
1.665595244745442E+008	-2.640344502869898E+001	6.683875762074958E+001	
1.697602016974208E+008	-2.629796847699028E+001	6.637468763711401E+001	
1.730223844674425E+008	-2.618140070879210E+001	6.598979104537852E+001	
1.763472547008309E+008	-2.606489243975704E+001	6.549466258288693E+001	
1.797360170260021E+008	-2.592912786810607E+001	6.511703794994044E+001	
1.831898992200138E+008	-2.581952808113086E+001	6.456226792408471E+001	
1.867101526533992E+008	-2.571021082206001E+001	6.422349228532804E+001	
1.902980527435491E+008	-2.558558124555502E+001	6.389789237370673E+001	
1.939548994168064E+008	-2.546255794164957E+001	6.354324767437912E+001	
1.976820175794400E+008	-2.531109367655373E+001	6.327193947609767E+001	
2.014807575976699E+008	-2.521613215580801E+001	6.286786946901864E+001	
2.053524957869161E+008	-2.504079473518254E+001	6.253494896190735E+001	
2.092986349104491E+008	-2.498752603552125E+001	6.187098618902957E+001	
2.133206046876228E+008	-2.484543835372577E+001	6.186102888811428E+001	
2.174198623118740E+008	-2.475183636719635E+001	6.159869569935824E+001	
2.215978929786758E+008	-2.460121523122080E+001	6.146804170367808E+001	
2.258562104236364E+008	-2.451655671215465E+001	6.138814668207603E+001	
2.301963574709380E+008	-2.434337379736500E+001	6.248069624255624E+001	
2.346199065923153E+008	-2.381402821288486E+001	6.388949840170055E+001	
2.391284604767750E+008	-2.323345936357562E+001	6.212211611223766E+001	
2.437236526112634E+008	-2.294987324110966E+001	5.948671770485600E+001	
2.484071478724928E+008	-2.277998847491412E+001	5.724924220848142E+001	
2.531806431301401E+008	-2.268774387717225E+001	5.549131403463785E+001	
2.580458678616368E+008	-2.256996308390395E+001	5.417857371982497E+001	
2.630045847787735E+008	-2.251321258161937E+001	5.268882359661691E+001	
2.680585904663449E+008	-2.248020608377535E+001	5.156642648052509E+001	
2.732097160330678E+008	-2.250246101683953E+001	5.051106974320776E+001	
2.784598277750070E+008	-2.262424424128055E+001	5.056814015523977E+001	
2.838108278517503E+008	-2.260371201464860E+001	5.280813702886951E+001	
2.892646549755763E+008	-2.213098138036340E+001	5.481881658833454E+001	
2.948232851138671E+008	-2.139226239480885E+001	5.310507132163775E+001	
3.004887322050169E+008	-2.107864295797135E+001	5.079749194635128E+001	
3.062630488880995E+008	-2.109446852828120E+001	4.743179892807323E+001	
3.121483272465562E+008	-2.110990135715322E+001	4.558170881155873E+001	
3.181466995661756E+008	-2.107706610329225E+001	4.446981012755690E+001	
3.242603391076385E+008	-2.098569650951340E+001	4.336731024340222E+001	
3.304914608939082E+008	-2.087875689202756E+001	4.194640878245583E+001	
3.368423225127525E+008	-2.079709497773593E+001	4.034384324891969E+001	
3.433152249346862E+008	-2.071615640640825E+001	3.882936397874387E+001	
3.499125133466326E+008	-2.065345384908645E+001	3.716289027697874E+001	
3.566365780016037E+008	-2.065736764169552E+001	3.576396595186765E+001	
3.634898550847094E+008	-2.067427560355508E+001	3.440677803174629E+001	
3.704748275958080E+008	-2.073031213908581E+001	3.337298355623339E+001	
3.775940262491174E+008	-2.080326351011623E+001	3.272179692884260E+001	
3.848500303901146E+008	-2.092640688323676E+001	3.234567994601242E+001	
3.922454689300538E+008	-2.098043533801828E+001	3.270509086278344E+001	
3.997830212984436E+008	-2.123370523190686E+001	3.374440307101081E+001	
4.074654184138260E+008	-2.122480863164077E+001	3.497343410071255E+001	
4.152954436732121E+008	-2.149534403203530E+001	4.071658834314883E+001	
4.232759339605293E+008	-2.009879714109735E+001	4.871367152707170E+001	
4.314097806744489E+008	-1.821796294816492E+001	4.401574353951394E+001	
4.396999307759636E+008	-1.754662401318110E+001	3.536244326050684E+001	
4.481493878560967E+008	-1.745615680051107E+001	2.810218595132487E+001	
4.567612132241279E+008	-1.754356081306075E+001	2.324101562569521E+001	
4.655385270167317E+008	-1.764049256952930E+001	1.931156187742991E+001	
4.744845093284289E+008	-1.781673469408615E+001	1.612998161461211E+001	
4.836024013637617E+008	-1.793423681414673E+001	1.418523318174459E+001	
4.928955066116095E+008	-1.807211654000745E+001	1.020309819686001E+001	
5.023671920420701E+008	-1.833384004972240E+001	6.553210383342386E+000	
5.120208893263419E+008	-1.892741718363258E+001	4.003199180132128E+000	
5.218600960800470E+008	-1.944881713713955E+001	4.118208817091935E+000	
