Time	V(t)	I(t)
3.84E-08	4.02E-02	1.71E-01
3.88E-08	4.00E-02	1.74E-01
3.92E-08	3.66E-02	1.73E-01
3.96E-08	2.83E-02	1.71E-01
4.00E-08	2.75E-02	1.72E-01
4.04E-08	2.53E-02	1.75E-01
4.08E-08	5.22E-03	1.73E-01
4.12E-08	-3.41E-03	1.72E-01
4.16E-08	-1.88E-02	1.73E-01
4.20E-08	-2.74E-02	1.71E-01
4.24E-08	-3.95E-02	1.69E-01
4.28E-08	-5.13E-02	1.71E-01
4.32E-08	-7.20E-02	1.74E-01
4.36E-08	-6.41E-02	1.71E-01
4.40E-08	-6.80E-02	1.73E-01
4.44E-08	-7.19E-02	1.72E-01
4.48E-08	-9.21E-02	1.71E-01
4.52E-08	-8.39E-02	1.74E-01
4.56E-08	-8.81E-02	1.74E-01
4.60E-08	-9.20E-02	1.72E-01
4.64E-08	-9.20E-02	1.71E-01
4.68E-08	-9.18E-02	1.72E-01
4.72E-08	-7.88E-02	1.73E-01
4.76E-08	-5.93E-02	1.73E-01
4.80E-08	-5.55E-02	1.74E-01
4.84E-08	-3.94E-02	1.76E-01
4.88E-08	-3.98E-02	1.72E-01
4.92E-08	-2.75E-02	1.75E-01
4.96E-08	-7.97E-03	1.78E-01
5.00E-08	4.13E-03	1.75E-01
5.04E-08	1.20E-02	1.75E-01
5.08E-08	0.00E+00	1.77E-01
5.12E-08	1.54E-02	1.74E-01
5.16E-08	2.03E-02	1.76E-01
5.20E-08	8.03E-03	1.78E-01
5.24E-08	1.92E-02	1.78E-01
5.28E-08	2.81E-02	1.77E-01
5.32E-08	2.40E-02	1.76E-01
5.36E-08	2.82E-02	1.76E-01
5.40E-08	2.77E-02	1.76E-01
5.44E-08	2.00E-02	1.75E-01
5.48E-08	2.80E-02	1.76E-01
5.52E-08	1.44E-02	1.72E-01
5.56E-08	-8.63E-03	1.75E-01
5.60E-08	-1.64E-02	1.74E-01
5.64E-08	-2.91E-02	1.74E-01
5.68E-08	-3.59E-02	1.79E-01
5.72E-08	-3.70E-02	1.75E-01
5.76E-08	-5.57E-02	1.72E-01
5.80E-08	-3.58E-02	1.75E-01
5.84E-08	-5.27E-02	1.73E-01
5.88E-08	-4.78E-02	1.73E-01
5.92E-08	-5.20E-02	1.74E-01
5.96E-08	-4.33E-02	1.74E-01
6.00E-08	-4.47E-02	1.74E-01
6.04E-08	-5.11E-02	1.76E-01
6.08E-08	-3.12E-02	1.76E-01
6.12E-08	-3.61E-02	1.77E-01
6.16E-08	-2.33E-02	1.77E-01
6.20E-08	-2.01E-02	1.75E-01
6.24E-08	-1.55E-02	1.77E-01
6.28E-08	-1.20E-02	1.75E-01
6.32E-08	-1.17E-02	1.75E-01
6.36E-08	1.38E-03	1.76E-01
6.40E-08	7.41E-03	1.77E-01
6.44E-08	-3.66E-03	1.77E-01
6.48E-08	1.69E-02	1.72E-01
6.52E-08	1.97E-02	1.73E-01
6.56E-08	1.59E-02	1.76E-01
6.60E-08	1.61E-02	1.75E-01
6.64E-08	2.81E-02	1.74E-01
6.68E-08	2.33E-02	1.77E-01
6.72E-08	4.32E-02	1.76E-01
6.76E-08	3.67E-02	1.76E-01
6.80E-08	2.79E-02	1.78E-01
6.84E-08	3.62E-02	1.75E-01
