time v(/en) v(/clk) v(/rstb) v(/serial_out) v(/net97) v(/en_out)
5.00000412909301e-05 -4.57596133394791e-15 -1.12244793772955e-13 2.06454472373919e-05 1.18799561941631 1.04178022269452e-07 1.08268628983587e-07
5.00000481515114e-05 -4.73181560770399e-15 -1.18071431345179e-13 2.4075737898741e-05 1.18799558357767 7.49197303328588e-08 9.13930514578237e-08
5.00000566605606e-05 -3.30866843608515e-15 -1.03496396344113e-13 2.83302624946458e-05 1.18799554002175 5.09635965367973e-08 7.41338622254879e-08
5.00000682473317e-05 5.90505400838652e-16 -7.14918978484834e-14 3.41236481293535e-05 1.18799549237948 4.3545553204081e-08 6.23467504706408e-08
5.00000797650736e-05 5.96231073985366e-15 -1.89784577514926e-14 3.98825191048303e-05 1.18799546713617 6.3375367028184e-08 6.66484873573234e-08
5.00000884644346e-05 9.59642657503957e-15 1.24980073647693e-14 4.4232199659337e-05 1.18799546515294 9.16210261124694e-08 7.9683852361457e-08
5.00000962855385e-05 1.26059886756469e-14 4.44489341692229e-14 4.81427516192781e-05 1.18799547517854 1.21872780175339e-07 9.65239398682972e-08
5.00001036478469e-05 1.41502731299458e-14 5.74186331371705e-14 5.18239058701656e-05 1.18799549267099 1.50500145598575e-07 1.14588207871389e-07
5.00001113264992e-05 1.52180822731686e-14 7.21033077477211e-14 5.56632319910779e-05 1.18799551625948 1.76904829374288e-07 1.33382945072702e-07
5.00001197452756e-05 1.46666610319945e-14 6.64372079472634e-14 5.98726202379345e-05 1.18799554434873 1.98393997892074e-07 1.51367909697135e-07
5.00001299392231e-05 1.31190685513067e-14 5.7749241442232e-14 6.49695939325864e-05 1.18799557545652 2.10938865596371e-07 1.66460866900685e-07
5.00001385831951e-05 1.04783997630433e-14 3.25762413120171e-14 6.92915798838898e-05 1.18799559528383 2.09408635784928e-07 1.72085137208261e-07
5.00001508671676e-05 6.91721535061785e-15 4.81877158896539e-15 7.54335661063798e-05 1.18799560833305 1.91265899841883e-07 1.68700211326398e-07
5.00001600326905e-05 4.06207972462108e-15 -2.33086706767711e-14 8.00163275142182e-05 1.18799560592047 1.69385380985553e-07 1.58926441519702e-07
5.00001691015411e-05 2.4171764499732e-15 -3.50664282408131e-14 8.45507527862112e-05 1.18799559474501 1.45527111010048e-07 1.45607257896282e-07
5.0000177687822e-05 1.19394353630076e-15 -4.90295932703977e-14 8.88438932339364e-05 1.18799557861568 1.24635779860502e-07 1.31970054792162e-07
5.000018705623e-05 1.36841880185832e-15 -4.46650617129841e-14 9.35280972639274e-05 1.18799555847427 1.07205670946388e-07 1.18506458906376e-07
5.000019795583e-05 2.13246136419167e-15 -4.06835520369233e-14 9.89778972710891e-05 1.18799553666994 9.68114912531444e-08 1.07407196482761e-07
