time v(/en) v(/clk) v(/rstb) v(/word) v(/net066) v(/en_out) v(/W0) v(/W1) v(/W2) v(/W3) v(/W4) v(/W5) v(/W6) v(/W7)
5.00000636680813e-06 2.50000000000108 0.000318337891863151 3.1833665021456e-05 2.10839889445131e-12 1.64902207357269e-05 9.89595997351672e-06 8.41451116090879e-06 8.41948676007778e-06 8.4194934096311e-06 8.41946635513402e-06 8.41944447118496e-06 8.41942805409562e-06 8.41941673951983e-06 8.39546991032673e-06
5.00000864669047e-06 2.50000000000088 0.000432332013567649 4.3233062293847e-05 1.58559598360627e-12 1.73609533243427e-05 1.10764641522099e-05 9.4118329873892e-06 9.41903274488845e-06 9.41905280916804e-06 9.41902747098194e-06 9.41900693296495e-06 9.4189915300955e-06 9.41898110519949e-06 9.40015051340548e-06
5.00001291888073e-06 2.50000000000089 0.000645941502548958 6.4594017003022e-05 1.60746811563851e-12 1.86137495986932e-05 1.29702214622685e-05 1.10836112551624e-05 1.10941948219064e-05 1.10942297730523e-05 1.10942094554424e-05 1.10941929683809e-05 1.10941805983198e-05 1.10941724698029e-05 1.10835991435941e-05
5.00002146326126e-06 2.50000000000058 0.00107316052170409 0.000107315901983333 8.35457212198696e-13 1.98955253289205e-05 1.56169020614298e-05 1.36636766544595e-05 1.36782812243497e-05 1.36783110011387e-05 1.36782960728329e-05 1.36782841206226e-05 1.36782751613307e-05 1.36782695642964e-05 1.36794677420791e-05
5.00003062697796e-06 2.50000000000053 0.00153134632762827 0.000153134489242902 7.51860509646961e-13 1.99183523205838e-05 1.70396629961617e-05 1.53891383019143e-05 1.54047118880202e-05 1.54047164857268e-05 1.54047069185948e-05 1.54046994562588e-05 1.54046938587796e-05 1.54046904921844e-05 1.54126507124135e-05
5.00004050648694e-06 2.50000000000023 0.00202532177413646 0.000202532019746744 4.54745213789896e-14 1.89887542819628e-05 1.73868237882344e-05 1.62510889808806e-05 1.62650140968062e-05 1.62649886640611e-05 1.62649816229867e-05 1.6264976255538e-05 1.62649722336872e-05 1.62649697711144e-05 1.62754534297926e-05
5.00005067053497e-06 2.50000000000019 0.00253352415206543 0.000253352265232067 -9.02112073669349e-15 1.74641279737099e-05 1.68888459784294e-05 1.63064636295602e-05 1.63170131325846e-05 1.63169692292989e-05 1.63169654525963e-05 1.6316962631838e-05 1.63169605110156e-05 1.6316959128245e-05 1.63270064019341e-05
5.00006153773059e-06 2.49999999999991 0.00307688393428298 0.000307688230243739 -6.79876382999153e-13 1.55442330930531e-05 1.57791904854773e-05 1.57014890307531e-05 1.57076939174369e-05 1.57076420690104e-05 1.57076392774398e-05 1.57076371298538e-05 1.57076355194117e-05 1.57076343356265e-05 1.57156674925736e-05
5.00007321161996e-06 2.49999999999988 0.00366057838254772 0.000366057683294497 -6.98342844621739e-13 1.34059949630529e-05 1.424617374751e-05 1.45574810508121e-05 1.45591140075387e-05 1.45590680357394e-05 1.45590673753782e-05 1.45590668068279e-05 1.45590663742528e-05 1.45590659006631e-05 1.45644850168068e-05
5.00008590590886e-06 2.49999999999964 0.00429529283173051 0.000429529116183559 -1.28202287853571e-12 1.12252837829249e-05 1.24741881225107e-05 1.30209490270382e-05 1.3018399545692e-05 1.30183660457893e-05 1.30183654738359e-05 1.3018364905236e-05 1.30183644810744e-05 1.3018364022372e-05 1.30211727853342e-05
5.00009983697516e-06 2.49999999999967 0.00499184612997601 0.000499184455595708 -1.16698270460407e-12 9.20408304378084e-06 1.06667065365189e-05 1.1278014592068e-05 1.1272221898464e-05 1.12722070157807e-05 1.12722078371942e-05 1.12722083571044e-05 1.12722087437538e-05 1.12722088791921e-05 1.12727805102391e-05
5.00011546348278e-06 2.49999999999953 0.0057731715193646 0.00057731698477954 -1.53498206867958e-12 7.5929226364068e-06 9.05785779107364e-06 9.56343790058657e-06 9.55576283829452e-06 9.55576460442772e-06 9.55576497383698e-06 9.55576516743433e-06 9.55576531729333e-06 9.55576537702157e-06 9.55459752055252e-06
5.00013384416394e-06 2.49999999999969 0.00669220556565364 0.000669220401766952 -1.12092748909915e-12 6.71565006436967e-06 7.94059811898054e-06 8.18258074000516e-06 8.17477604816523e-06 8.17479284090652e-06 8.17479420442624e-06 8.17479524453561e-06 8.17479602207246e-06 8.17479656310646e-06 8.17245175120864e-06
5.00015948132156e-06 2.49999999999976 0.00797406346120885 0.00079740618615525 -9.98147947312473e-13 7.28564471140779e-06 7.89714019519968e-06 7.71439001735591e-06 7.70897371222787e-06 7.70899675106525e-06 7.70899739843582e-06 7.70899793781548e-06 7.70899834646886e-06 7.70899868200077e-06 7.70611828956012e-06
5.00018535726516e-06 2.50000000000013 0.00926786063656168 0.000926785919626641 -1.09667148175679e-13 9.50593128016009e-06 9.38407827048599e-06 8.88122741481025e-06 8.87963830443033e-06 8.87965861276895e-06 8.8796599970823e-06 8.8796611482892e-06 8.87966200807952e-06 8.87966263198621e-06 8.87717911596854e-06
5.00020460384685e-06 2.50000000000021 0.0102301897372105 0.00102301882324275 3.62734777122618e-14 1.17807522542427e-05 1.11620203399876e-05 1.05579741146265e-05 1.05591709032379e-05 1.05591834682205e-05 1.05591839288048e-05 1.0559184347733e-05 1.05591846653996e-05 1.0559184914728e-05 1.05573687973769e-05
5.00022197174748e-06 2.50000000000046 0.0110985847623501 0.00110985833885966 6.59727654590749e-13 1.38499688749147e-05 1.29082277200014e-05 1.23386958604103e-05 1.23418334095497e-05 1.23418399432528e-05 1.23418410994086e-05 1.23418420595676e-05 1.23418427755505e-05 1.23418432711657e-05 1.23408333272212e-05
5.00023828275864e-06 2.50000000000044 0.0119141353339524 0.00119141338711423 5.90400957281258e-13 1.55829788294251e-05 1.44609081383279e-05 1.4013089211423e-05 1.40173227755654e-05 1.40173220264547e-05 1.40173222092496e-05 1.40173223857994e-05 1.40173225217507e-05 1.40173226204178e-05 1.40170504923867e-05
5.00025539450446e-06 2.50000000000059 0.0127697226161349 0.00127697212589178 9.83995643412656e-13 1.69583583561059e-05 1.57952408823446e-05 1.55448906657058e-05 1.55494417991802e-05 1.55494365670992e-05 1.55494373812692e-05 1.55494380420085e-05 1.55494385340944e-05 1.55494388542133e-05 1.55498951586204e-05
5.00027436174411e-06 2.50000000000047 0.0137180846101721 0.00137180831421879 6.86860258109372e-13 1.78092472654118e-05 1.67589678413756e-05 1.67725740152815e-05 1.67765391014421e-05 1.67765288600017e-05 1.67765286793132e-05 1.67765285377044e-05 1.67765284356361e-05 1.67765283552859e-05 1.67776071446717e-05
5.00029801914438e-06 2.50000000000049 0.0149009546117167 0.00149009532184555 7.65897083532725e-13 1.7807744960792e-05 1.70800708874196e-05 1.74214997016159e-05 1.74236982659871e-05 1.74236872452183e-05 1.74236876597768e-05 1.74236879742164e-05 1.74236882066582e-05 1.742368833865e-05 1.74252101547028e-05
5.0003154743627e-06 2.50000000000028 0.0157737155362743 0.00157737140179155 2.60680012468622e-13 1.71347626652477e-05 1.67171530575531e-05 1.72593034556392e-05 1.72597566451118e-05 1.72597456202823e-05 1.72597451384003e-05 1.72597447378286e-05 1.725974444153e-05 1.72597442245998e-05 1.72613002991828e-05
5.00034127563945e-06 2.50000000000022 0.0170637793593176 0.0017063777903192 1.46659753840008e-13 1.54537467009253e-05 1.5495538002222e-05 1.62147000558719e-05 1.62125906093794e-05 1.62125844388624e-05 1.62125846663947e-05 1.62125848240677e-05 1.62125849387549e-05 1.62125849952164e-05 1.62138347812156e-05
5.000361012429e-06 2.5 0.0180506188447906 0.00180506172667292 -3.88660765386453e-13 1.39234483339193e-05 1.4247985134116e-05 1.49918819443988e-05 1.49881961838969e-05 1.49881932209358e-05 1.49881926730999e-05 1.49881922210969e-05 1.49881918858236e-05 1.49881916529159e-05 1.49889701311959e-05
