Time	2kV
-77.5E-9	0.25125
-77.4E-9	0.0592793
-77.3E-9	0.155955
-77.2E-9	0.0872462
-77.1E-9	0.163896
-77.0E-9	0.0686016
-76.9E-9	-0.130619
-76.8E-9	-0.178957
-76.7E-9	-0.0342889
-76.6E-9	-0.0125369
-76.5E-9	-0.0632916
-76.4E-9	0.131441
-76.3E-9	0.142144
-76.2E-9	-0.130619
-76.1E-9	0.0558266
-76.0E-9	-0.0681254
-75.9E-9	0.0692922
-75.8E-9	0.0181922
-75.7E-9	-0.153407
-75.6E-9	-0.136834
-75.5E-9	0.0254428
-75.4E-9	0.138346
-75.3E-9	-0.282884
-75.2E-9	-0.233165
-75.1E-9	0.046159
-75.0E-9	-0.242832
-74.9E-9	-0.184827
-74.8E-9	0.0520286
-74.7E-9	-0.282884
-74.6E-9	-0.254571
-74.5E-9	0.249178
-74.4E-9	-0.0853889
-74.3E-9	-0.026693
-74.2E-9	0.114523
-74.1E-9	-0.166873
-74.0E-9	-0.00977474
-73.9E-9	-0.0812457
-73.8E-9	-0.187934
-73.7E-9	0.121428
-73.6E-9	0.0689469
-73.5E-9	0.18116
-73.4E-9	-0.00148825
-73.3E-9	-0.290825
-73.2E-9	-0.101962
-73.1E-9	0.199459
-73.0E-9	-0.0249666
-72.9E-9	0.0385631
-72.8E-9	-0.0750308
-72.7E-9	-0.0588031
-72.6E-9	0.00921513
-72.5E-9	0.0924253
-72.4E-9	0.23882
-72.3E-9	-0.0391227
-72.2E-9	-0.2014
-72.1E-9	0.0181922
-72.0E-9	0.0323482
-71.9E-9	0.1563
-71.8E-9	0.0603151
-71.7E-9	-0.110594
-71.6E-9	-0.0860795
-71.5E-9	-0.0985092
-71.4E-9	0.243654
-71.3E-9	0.046159
-71.2E-9	0.0219901
-71.1E-9	-0.0632916
-71.0E-9	-0.224878
-70.9E-9	-0.0795193
-70.8E-9	-0.0884964
-70.7E-9	0.024407
-70.6E-9	0.236748
-70.5E-9	0.0126678
-70.4E-9	-0.0418849
-70.3E-9	-0.0505166
-70.2E-9	-0.056041
-70.1E-9	-0.0353247
-70.0E-9	0.0527192
-69.9E-9	0.0181922
-69.8E-9	-0.296004
-69.7E-9	-0.294968
-69.6E-9	-0.146847
-69.5E-9	-0.0767572
-69.4E-9	0.160444
-69.3E-9	-0.107832
-69.2E-9	-0.220044
-69.1E-9	-0.0639822
-69.0E-9	-0.290479
-68.9E-9	0.0112867
-68.8E-9	0.0599699
-68.7E-9	-0.0926396
-68.6E-9	-0.180684
-68.5E-9	-0.043266
-68.4E-9	-0.165146
-68.3E-9	-0.170325
-68.2E-9	0.144561
-68.1E-9	-0.0353247
-68.0E-9	-0.0539693
-67.9E-9	-0.0463734
-67.8E-9	-0.0594937
-67.7E-9	-0.0470639
-67.6E-9	0.0886273
-67.5E-9	0.0962232
-67.4E-9	-0.183446
-67.3E-9	-0.106796
-67.2E-9	-0.160658
-67.1E-9	-0.114046
-67.0E-9	0.136965
-66.9E-9	-0.0270383
-66.8E-9	-0.0746856
-66.7E-9	0.0105962
