Measurement report of dcv_sheet_cz_regu_v2,,,,
Generated by DesCoVer 2.6.0,,,,
Date,2016-11-22 03:08:58 -0600,Author,b48923,
,,,,
,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_cz_regu - Tue Nov 22 03:09:07 CST 2016,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=12u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s)
-0.4,3.0392E-007,2.5032,2.40507,1.87092E-007
-0.4,3.56225E-007,2.5032,2.39728,1.95742E-007
-0.4,4.17532E-007,2.5032,2.38804,1.98486E-007
-0.4,4.8939E-007,2.5032,2.3781,2.09288E-007
-0.4,5.73615E-007,2.5032,2.36669,2.20182E-007
-0.4,6.72336E-007,2.5032,2.35327,2.26496E-007
-0.4,0.000000788,2.5032,2.33822,2.39575E-007
-0.4,9.23671E-007,2.5032,2.32002,2.5124E-007
-0.4,1.08264E-006,2.5032,2.29906,0.000000267
-0.4,0.000001269,2.5032,2.27426,0.000000287
-0.4,1.48735E-006,2.5032,2.24419,3.13265E-007
-0.4,1.74333E-006,2.5032,2.20857,0.000000335
-0.4,2.04336E-006,2.5032,2.16714,3.72867E-007
-0.4,0.000002395,2.5032,2.11835,4.16724E-007
-0.4,2.80722E-006,2.5032,2.06143,4.6793E-007
-0.4,3.29034E-006,2.5032,1.99693,5.4005E-007
-0.4,3.85662E-006,2.5032,1.92293,6.22605E-007
-0.4,4.52035E-006,2.5032,1.83979,7.26254E-007
-0.4,5.29832E-006,2.5032,1.74672,8.45337E-007
-0.4,6.21017E-006,2.5032,1.64409,9.90508E-007
-0.4,0.000007279,2.5032,1.53228,1.18049E-006
-0.4,8.53168E-006,2.5032,1.45783,1.70441E-006
-0.4,0.00001,2.5032,1.45783,3.13857E-006
-0.5,0.0000001,2.5032,2.43728,1.71831E-007
-0.5,1.1721E-007,2.5032,2.43311,1.69337E-007
-0.5,1.37382E-007,2.5032,2.42883,1.74437E-007
-0.5,0.000000161,2.5032,2.4239,1.77728E-007
-0.5,1.88739E-007,2.5032,2.41855,1.82506E-007
-0.5,2.21222E-007,2.5032,2.41267,1.8681E-007
-0.5,2.59294E-007,2.5032,2.40594,0.00000019
-0.5,3.0392E-007,2.5032,2.39801,1.885E-007
-0.5,3.56225E-007,2.5032,2.39038,2.04272E-007
-0.5,4.17532E-007,2.5032,2.38101,2.06231E-007
-0.5,4.8939E-007,2.5032,2.37066,2.1442E-007
-0.5,5.73615E-007,2.5032,2.3584,2.18051E-007
-0.5,6.72336E-007,2.5032,2.34572,2.3031E-007
-0.5,0.000000788,2.5032,2.33001,2.40319E-007
-0.5,9.23671E-007,2.5032,2.31304,2.61473E-007
-0.5,1.08264E-006,2.5032,2.29229,2.74816E-007
-0.5,0.000001269,2.5032,2.26828,2.96815E-007
-0.5,1.48735E-006,2.5032,2.23927,3.12499E-007
-0.5,1.74333E-006,2.5032,2.20486,3.44796E-007
-0.5,2.04336E-006,2.5032,2.1643,3.80556E-007
-0.5,0.000002395,2.5032,2.11556,0.000000417
-0.5,2.80722E-006,2.5032,2.05949,4.70736E-007
-0.5,3.29034E-006,2.5032,1.99492,5.39458E-007
-0.5,3.85662E-006,2.5032,1.92166,6.24739E-007
-0.5,4.52035E-006,2.5032,1.83833,7.21783E-007
-0.5,5.29832E-006,2.5032,1.74556,8.43544E-007
-0.5,6.21017E-006,2.5032,1.64278,9.94257E-007
-0.5,0.000007279,2.5032,1.53007,1.18419E-006
-0.5,8.53168E-006,2.5032,1.40755,1.39826E-006
-0.5,0.00001,2.5032,1.27765,0.000001681
-0.6,0.0000001,2.5032,2.43265,1.76558E-007
-0.6,1.1721E-007,2.5032,2.42858,1.73451E-007
-0.6,1.37382E-007,2.5032,2.42365,1.76057E-007
-0.6,0.000000161,2.5032,2.41879,1.82715E-007
-0.6,1.88739E-007,2.5032,2.41317,0.000000187
-0.6,2.21222E-007,2.5032,2.40673,1.90675E-007
-0.6,2.59294E-007,2.5032,2.40005,1.95892E-007
-0.6,3.0392E-007,2.5032,2.39212,2.01367E-007
-0.6,3.56225E-007,2.5032,2.38341,2.03826E-007
-0.6,4.17532E-007,2.5032,2.37402,2.10658E-007
-0.6,4.8939E-007,2.5032,2.36375,2.21937E-007
-0.6,5.73615E-007,2.5032,2.35163,2.27867E-007
-0.6,6.72336E-007,2.5032,2.33852,2.39949E-007
-0.6,0.000000788,2.5032,2.32316,2.49299E-007
-0.6,9.23671E-007,2.5032,2.30584,0.000000263
-0.6,1.08264E-006,2.5032,2.28557,2.79415E-007
-0.6,0.000001269,2.5032,2.26152,2.97191E-007
-0.6,1.48735E-006,2.5032,2.23391,3.21667E-007
-0.6,1.74333E-006,2.5032,2.20015,3.53743E-007
-0.6,2.04336E-006,2.5032,2.15978,3.80309E-007
-0.6,0.000002395,2.5032,2.11271,4.20802E-007
-0.6,2.80722E-006,2.5032,2.05743,4.74608E-007
