Measurement report of dcv_sheet_cz_regu_v2,,,,
Generated by DesCoVer 2.6.0,,,,
Date,2017-03-03 09:02:09 -0600,Author,b48923,
,,,,
,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_cz_regu - Fri Mar 03 09:02:13 CST 2017,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=12u th=0.1 ,,,,
,,,,
,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s)
-0.1,0.0000001,2.50329,2.46315,4.14257E-007
-0.1,1.1721E-007,2.50329,2.45886,4.22415E-007
-0.1,1.37382E-007,2.50329,2.45414,4.31666E-007
-0.1,0.000000161,2.50329,2.44915,4.45742E-007
-0.1,1.88739E-007,2.50329,2.4438,4.59933E-007
-0.1,2.21222E-007,2.50329,2.43852,4.78606E-007
-0.1,2.59294E-007,2.50329,2.43295,4.98543E-007
-0.1,3.0392E-007,2.50329,2.42658,5.20337E-007
-0.1,3.56225E-007,2.50329,2.41946,0.000000547
-0.1,4.17532E-007,2.50329,2.41103,5.77889E-007
-0.1,4.8939E-007,2.50329,2.40103,6.11935E-007
-0.1,5.73615E-007,2.50329,2.38927,6.54258E-007
-0.1,6.72336E-007,2.50329,2.37535,7.04883E-007
-0.1,0.000000788,2.50329,2.35877,0.000000764
-0.1,9.23671E-007,2.50329,2.33957,8.37818E-007
-0.1,1.08264E-006,2.50329,2.31697,9.28858E-007
-0.1,0.000001269,2.50329,2.29108,1.04256E-006
-0.1,1.48735E-006,2.50329,2.26166,1.17331E-006
-0.1,1.74333E-006,2.50329,2.23138,1.32444E-006
-0.1,2.04336E-006,2.50329,2.22336,0.000001573
-0.1,0.000002395,2.50329,2.22336,1.93115E-006
-0.1,2.80722E-006,2.50329,2.22336,2.34428E-006
-0.1,3.29034E-006,2.50329,2.22336,2.81755E-006
-0.1,3.85662E-006,2.50329,2.22336,3.37325E-006
-0.1,4.52035E-006,2.50329,2.22336,4.02776E-006
-0.1,5.29832E-006,2.50329,2.22336,4.79967E-006
-0.1,6.21017E-006,2.50329,2.22336,5.70838E-006
-0.1,0.000007279,2.50329,2.22336,6.7761E-006
-0.1,8.53168E-006,2.50329,2.22336,8.02854E-006
-0.1,0.00001,2.50329,2.22336,9.4969E-006
-0.2,0.0000001,2.50329,2.45214,4.52738E-007
-0.2,1.1721E-007,2.50329,2.44804,4.66249E-007
-0.2,1.37382E-007,2.50329,2.44403,0.000000481
-0.2,0.000000161,2.50329,2.44014,4.97599E-007
-0.2,1.88739E-007,2.50329,2.43572,5.1369E-007
-0.2,2.21222E-007,2.50329,2.431,5.34746E-007
-0.2,2.59294E-007,2.50329,2.42537,5.56136E-007
-0.2,3.0392E-007,2.50329,2.41905,5.79147E-007
-0.2,3.56225E-007,2.50329,2.41162,6.09163E-007
-0.2,4.17532E-007,2.50329,2.4031,6.41721E-007
-0.2,4.8939E-007,2.50329,2.39317,6.76499E-007
-0.2,5.73615E-007,2.50329,2.38163,7.19599E-007
-0.2,6.72336E-007,2.50329,2.36786,7.66687E-007
-0.2,0.000000788,2.50329,2.35198,0.000000826
