XXXX,,,,
Generated by XXXX,,,,
XXXX
,,,,
,,,,
XXXX,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=5u load=1M ,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
delay=5u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_vclamp9,width(s)
-8,3.56225E-008,8.0217,1.58286,7.6855E-009
-8,4.52035E-008,8.0217,1.58286,7.6855E-009
-8,5.73615E-008,8.0217,1.58286,7.6855E-009
-8,7.27895E-008,8.0217,1.58286,7.6855E-009
-8,9.23671E-008,8.0217,1.58286,7.6855E-009
-8,1.1721E-007,8.0217,1.58286,7.6855E-009
-8,1.48735E-007,8.0217,1.58286,7.6855E-009
-8,1.88739E-007,8.0217,1.58286,7.6855E-009
-8,2.39503E-007,8.0217,1.58286,7.6855E-009
-8,3.0392E-007,8.0217,1.58286,7.6855E-009
-8,3.85662E-007,8.0217,1.58286,7.6855E-009
-8,4.8939E-007,8.0217,1.58286,7.6855E-009
-8,0.000000621,8.0217,1.58286,7.6855E-009
-8,0.000000788,8.0217,1.58286,7.6855E-009
-8,0.000001,8.0217,1.58286,7.6855E-009
-10,0.000000001,8.0217,0.0076878,0.000000001
-10,1.26896E-009,8.0217,0.0076878,1.27924E-009
-10,1.61026E-009,8.0217,0.0076878,1.62E-009
-10,0.000000002,8.0217,0.0076878,2.05249E-009
-10,2.59294E-009,8.0217,0.0076878,2.60119E-009
-10,3.29034E-009,8.0217,0.0076878,3.29764E-009
-10,4.17532E-009,8.0217,0.0076878,4.18162E-009
-10,5.29832E-009,8.0217,0.0076878,5.30361E-009
-10,6.72336E-009,8.0217,0.0076878,6.72764E-009
-10,8.53168E-009,8.0217,0.0076878,8.53499E-009
-10,1.08264E-008,8.0217,0.0076878,1.08288E-008
-10,1.37382E-008,8.0217,0.0076878,1.37396E-008
-10,1.74333E-008,8.0217,0.0076878,1.74335E-008
-10,2.21222E-008,8.0217,0.0076878,2.21212E-008
-10,2.80722E-008,8.0217,0.0076878,2.807E-008
-10,3.56225E-008,8.0217,0.0076878,3.5619E-008
-10,4.52035E-008,8.0217,0.0076878,4.51979E-008
-10,5.73615E-008,8.0217,0.0076878,5.73521E-008
-10,7.27895E-008,8.0217,0.0076878,0.000000058
-10,9.23671E-008,8.0217,0.0076878,0.000000058
-10,1.1721E-007,8.0217,0.0076878,0.000000058
-10,1.48735E-007,8.0217,0.0076878,0.000000058
-10,1.88739E-007,8.0217,0.0076878,0.000000058
-10,2.39503E-007,8.0217,0.0076878,0.000000058
-10,3.0392E-007,8.0217,0.0076878,0.000000058
-10,3.85662E-007,8.0217,0.0076878,0.000000058
-10,4.8939E-007,8.0217,0.0076878,0.000000058
-10,0.000000621,8.0217,0.0076878,0.000000058
-10,0.000000788,8.0217,0.0076878,0.000000058
-10,0.000001,8.0217,0.0076878,0.000000058
-12,0.000000001,8.0217,-1.0032,0.000000001
-12,1.26896E-009,8.0217,-1.0032,1.28527E-009
-12,1.61026E-009,8.0217,-1.0032,1.6257E-009
-12,0.000000002,8.0217,-1.0032,2.05804E-009
-12,2.59294E-009,8.0217,-1.0032,2.60701E-009
-12,3.29034E-009,8.0217,-1.0032,3.30372E-009
-12,4.17532E-009,8.0217,-1.0032,4.18834E-009
-12,5.29832E-009,8.0217,-1.0032,5.31112E-009
-12,6.72336E-009,8.0217,-1.0032,6.73622E-009
-12,8.53168E-009,8.0217,-1.0032,8.54476E-009
-12,1.08264E-008,8.0217,-1.0032,1.08397E-008
-12,1.37382E-008,8.0217,-1.0032,1.37517E-008
-12,1.74333E-008,8.0217,-1.0032,1.74469E-008
-12,2.21222E-008,8.0217,-1.0032,2.21359E-008
-12,2.80722E-008,8.0217,-1.0032,2.80859E-008
-12,3.56225E-008,8.0217,-1.0032,3.56358E-008
-12,4.52035E-008,8.0217,-1.0032,4.52163E-008
-12,5.73615E-008,8.0217,-1.0032,5.73737E-008
-12,7.27895E-008,8.0217,-1.0032,7.28011E-008
-12,9.23671E-008,8.0217,-1.0032,9.23783E-008
-12,1.1721E-007,8.0217,-1.0032,1.17221E-007
-12,1.48735E-007,8.0217,-1.0032,1.48746E-007
-12,1.88739E-007,8.0217,-1.0032,1.88749E-007
-12,2.39503E-007,8.0217,-1.0032,2.39513E-007
-12,3.0392E-007,8.0217,-1.0032,3.03929E-007
-12,3.85662E-007,8.0217,-1.0032,3.85671E-007
