Measurement report of dcv_sheet_total_v2,,,,,,
Generated by DesCoVer 2.6.0,,,,,,
Date,2017-03-04 03:02:25 -0600,Author,b48923,,,
,,,,,,
,,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_total - Sat Mar 04 03:02:28 CST 2017,,,,,,
,,,,,,
,,,,,,
Setup: Parameters or device casing alteration,,,,,,
Err:510,,,,,,
risetime=1n start=45u ,,,,,,
,,,,,,
,,,,,,
amplitude,length,time,vin,v2p5,vclamp9,v1p0
-20,0.0000001,1.66118E-008,0.191262,6.39214E-005,0.173191,0.00369243
-20,0.0000001,2.44384E-008,0.284887,9.21749E-005,0.206042,0.00436684
-20,0.0000001,3.99275E-008,0.470734,0.000146653,0.262766,0.00458226
-20,0.0000001,0.000000053,0.627445,0.000188167,0.305713,0.00408385
-20,0.0000001,7.01389E-008,0.834102,0.000238632,0.359251,0.00318233
-20,0.0000001,8.63153E-008,1.02853,0.000285693,0.405479,0.00180255
-20,0.0000001,1.05066E-007,1.25364,0.000332107,0.448503,-0.00119212
-20,0.0000001,1.23689E-007,1.47696,0.000381673,0.468619,-0.0070019
-20,0.0000001,1.45527E-007,1.7388,0.000427881,0.454355,-0.0162174
-20,0.0000001,1.5023E-007,1.79528,0.00044577,0.446592,-0.0180807
-20,0.0000001,1.59636E-007,1.90802,0.000456876,0.425952,-0.0217454
-20,0.0000001,1.69782E-007,2.02972,0.000489562,0.396133,-0.0257218
-20,0.0000001,1.79357E-007,2.14444,0.000497912,0.360751,-0.0296972
-20,0.0000001,1.91865E-007,2.29444,0.000536546,0.304383,-0.0355061
-20,0.0000001,2.05714E-007,2.46043,0.00055124,0.229375,-0.0428263
-20,0.0000001,2.22815E-007,2.66552,0.000598491,0.120624,-0.0530895
-20,0.0000001,2.4442E-007,2.92458,0.000625386,-0.0371268,-0.0642769
-20,0.0000001,2.50801E-007,3.00115,0.000651852,-0.086904,-0.0653661
-20,0.0000001,2.63561E-007,3.15419,0.000659706,-0.188677,-0.0650224
-20,0.0000001,2.6793E-007,3.20664,0.00068322,-0.223795,-0.0650872
-20,0.0000001,2.76668E-007,3.31146,0.000683183,-0.293363,-0.0633114
-20,0.0000001,0.000000291,3.48369,0.000723772,-0.401271,-0.0566369
-20,0.0000001,2.96832E-007,3.55365,0.000718536,-0.439604,-0.0537029
-20,0.0000001,3.08472E-007,3.69376,0.000753417,-0.497322,-0.0492753
-20,0.0000001,3.26865E-007,3.9148,0.000770089,-0.54683,-0.0424722
-20,0.0000001,3.31741E-007,3.9733,0.000791747,-0.554532,-0.0407897
-20,0.0000001,3.41495E-007,4.09035,0.000795118,-0.567268,-0.0375013
-20,0.0000001,3.56304E-007,4.268,0.000831536,-0.580042,-0.0328691
-20,0.0000001,3.59592E-007,4.30742,0.00082607,-0.582007,-0.0318795
-20,0.0000001,3.61236E-007,4.32708,0.000836222,-0.582861,-0.0314127
-20,0.0000001,3.64524E-007,4.36642,0.000837382,-0.584182,-0.0304857
-20,0.0000001,3.65432E-007,4.37728,0.000839384,-0.584458,-0.0302794
-20,0.0000001,3.67249E-007,4.39901,0.00084503,-0.584718,-0.0301801
-20,0.0000001,0.000000368,4.40841,0.000844954,-0.584656,-0.0304589
-20,0.0000001,3.68425E-007,4.41313,0.000850036,-0.584531,-0.0307392
-20,0.0000001,3.68892E-007,4.4188,0.000872962,-0.584223,-0.0311987
-20,0.0000001,3.69268E-007,4.42343,0.000930447,-0.583724,-0.0314543
-20,0.0000001,3.69652E-007,4.42825,0.000884766,-0.582896,-0.0312392
-20,0.0000001,3.69762E-007,4.42964,0.000837482,-0.582583,-0.0309881
-20,0.0000001,0.00000037,4.43247,0.000678964,-0.581811,-0.0295018
-20,0.0000001,3.70176E-007,4.43493,0.00066963,-0.581065,-0.0274123
-20,0.0000001,3.70242E-007,4.43575,0.000713256,-0.580818,-0.0266941
-20,0.0000001,3.70375E-007,4.43738,0.000822328,-0.580324,-0.0253842
-20,0.0000001,3.70545E-007,4.43942,0.00093563,-0.579715,-0.023991
-20,0.0000001,3.70756E-007,4.44193,0.000964089,-0.578991,-0.0226486
-20,0.0000001,0.000000371,4.44455,0.000897797,-0.578292,-0.0216374
-20,0.0000001,3.71198E-007,4.44707,0.000819114,-0.577686,-0.0209858
-20,0.0000001,3.71475E-007,4.45024,0.00078802,-0.577062,-0.0206028
-20,0.0000001,3.71851E-007,4.45448,0.000831083,-0.5765,-0.0207562
-20,0.0000001,3.72156E-007,4.4579,0.000868481,-0.576286,-0.0212834
-20,0.0000001,3.72579E-007,4.46268,0.000863978,-0.576261,-0.0221662
-20,0.0000001,3.73072E-007,4.46835,0.000847827,-0.576433,-0.0229684
-20,0.0000001,3.73593E-007,4.4745,0.000853544,-0.576622,-0.0233441
-20,0.0000001,3.74278E-007,4.48266,0.000858957,-0.576736,-0.0233864
-20,0.0000001,3.75159E-007,4.49315,0.000851338,-0.576724,-0.023339
-20,0.0000001,3.76315E-007,4.50683,0.000860114,-0.576627,-0.0234334
-20,0.0000001,3.77539E-007,4.52129,0.000860157,-0.576428,-0.0234513
-20,0.0000001,3.79554E-007,4.54508,0.000862438,-0.575752,-0.0231233
-20,0.0000001,3.81738E-007,4.57077,0.000867641,-0.574588,-0.0226494
-20,0.0000001,3.85157E-007,4.61081,0.000871178,-0.57194,-0.0217853
-20,0.0000001,3.8965E-007,4.66312,0.000880483,-0.566523,-0.0202945
-20,0.0000001,3.98363E-007,4.76342,0.000892442,-0.54816,-0.0161112
-20,0.0000001,4.06139E-007,4.85152,0.00090592,-0.523514,-0.0117102
-20,0.0000001,4.1267E-007,4.92474,0.000915969,-0.496193,-0.00886194
-20,0.0000001,4.19639E-007,5.00327,0.000926456,-0.444985,-0.00604782
-20,0.0000001,4.26605E-007,5.08895,0.000940122,-0.251683,0.000131603
-20,0.0000001,4.32597E-007,5.15706,0.000943787,-0.0334814,0.00389025
-20,0.0000001,4.37783E-007,5.22217,0.000960318,0.178548,0.00908901
-20,0.0000001,4.42888E-007,5.28166,0.000956804,0.404218,0.0120501
-20,0.0000001,0.000000444,5.2969,0.000976552,0.456399,0.0137931
