time ref_vbatt ref_vclamp9 ref_v1p0 ref_v2p5
0.0 2.53288545213564e-05 0.108626982589395 4.39275362433142e-06 1.45412468074255e-05
4.59519188478241e-11 0.000110471470112308 0.108684463750703 3.84267447275928e-05 0.000208650554885129
5.82903157723462e-11 0.000137176243960525 0.108701659812437 4.76393905227732e-05 0.000268436918437967
8.29671096213905e-11 0.000197711131933836 0.108739348119246 6.60455859649941e-05 0.000399862114775574
1.15506070855607e-10 0.000297814792743399 0.10879841086003 8.99995797740357e-05 0.000600104550462732
1.4522503654958e-10 0.000407445587708635 0.108860552799987 0.000111283878880689 0.000796665870749012
2.00123912426577e-10 0.000650291530347687 0.108992758024635 0.000149016711127687 0.00115607325122224
2.91867667516436e-10 0.00115621308776267 0.109255775225993 0.0002078515848171 0.00165620860435504
3.6597725346473e-10 0.00164290440518964 0.109500297965688 0.000251491256839728 0.00191918770048578
4.39032818092175e-10 0.00217880255851939 0.109764118001828 0.000290986236124447 0.00203748343927473
5.08076889596279e-10 0.00272912296354764 0.11003126555858 0.000325086005589361 0.00203087322555502
5.81988247433206e-10 0.00335863120887338 0.110334012338442 0.000358396908990698 0.00191920100271174
6.63040955359753e-10 0.00409009923980957 0.110683478254139 0.000391611943419093 0.00170592345737284
7.56569041539715e-10 0.00497934283746461 0.111106347776931 0.000426510232381596 0.00138968765400576
8.68863888171237e-10 0.006099255202137 0.111637563446758 0.000465251269935434 0.000977994730660889
1.0200079472972e-09 0.00767595797407732 0.11238443546397 0.000514785882008457 0.000472246417515578
1.16066585872006e-09 0.00919673435141986 0.113104317639102 0.000560564915378004 0.000115294736052091
1.3396032255092e-09 0.0111807699755726 0.114042214361487 0.000620524111656418 -0.000148790116243361
1.49307151765521e-09 0.0129120139574004 0.114858508666732 0.000673879174647537 -0.00022783027818177
1.65302359931933e-09 0.0147341431702481 0.115714300802388 0.000730799393544488 -0.000214088068107568
1.82063355080591e-09 0.0166555894551326 0.116612294827992 0.000790876133676723 -0.000147787386325465
2.02368143951002e-09 0.0189934341033838 0.117698156038363 0.000862784409260581 -5.67715354290796e-05
2.30891908544258e-09 0.0222896395010771 0.119216776352173 0.000960300670054191 2.74329124597149e-05
2.73784582242805e-09 0.027264312760381 0.121484522238114 0.00109839866693183 4.97598548204067e-05
3.06331276665865e-09 0.0310501941551674 0.123193291325563 0.0011973333505695 2.64504206687897e-05
3.44232385725086e-09 0.035467485573716 0.125170751132215 0.00130843742101378 9.87770966509633e-06
3.98684191999683e-09 0.0418252269696753 0.127987827716577 0.00146085511135469 1.35329208044516e-05
4.60028970420619e-09 0.049000631288319 0.131128497359481 0.00162339076047733 2.38113536231398e-05
5.37506995559358e-09 0.0580806240698895 0.135049229056803 0.00181586944654846 2.55651540361755e-05
6.92463045836837e-09 0.0762919911902066 0.142755906917961 0.00216620226282382 3.03250648423448e-05
8.50812568986525e-09 0.0949639155698823 0.150464762071546 0.00248497710860277 3.91986201561626e-05
1.11957219117352e-08 0.126765913168928 0.163209989148281 0.00295410537191402 4.83895191884874e-05
