Measurement report of XXX,,,,
Generated by XXXX,,,,
Date,XXXX,
,,,,
,,,,
Testbench: XXX,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=12u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s)
-0.4,4.8939E-007,2.50308,2.37831,2.11272E-007
-0.4,5.73615E-007,2.50308,2.36661,2.15221E-007
-0.4,6.72336E-007,2.50308,2.35343,2.2714E-007
-0.4,0.000000788,2.50308,2.33811,0.000000238
-0.4,9.23671E-007,2.50308,2.3202,2.51369E-007
-0.4,1.08264E-006,2.50308,2.29928,2.69565E-007
-0.4,0.000001269,2.50308,2.27431,2.89306E-007
-0.4,1.48735E-006,2.50308,2.24436,3.13436E-007
-0.4,1.74333E-006,2.50308,2.20862,3.34919E-007
-0.4,2.04336E-006,2.50308,2.1672,3.7313E-007
-0.4,0.000002395,2.50308,2.11815,4.13809E-007
-0.4,2.80722E-006,2.50308,2.06205,4.72874E-007
-0.4,3.29034E-006,2.50308,1.99677,5.38335E-007
-0.4,3.85662E-006,2.50308,1.92292,6.23354E-007
-0.4,4.52035E-006,2.50308,1.83993,7.26319E-007
-0.4,5.29832E-006,2.50308,1.74739,8.53556E-007
-0.4,6.21017E-006,2.50308,1.64434,1.00022E-006
-0.4,0.000007279,2.50308,1.53218,1.17768E-006
-0.4,8.53168E-006,2.50308,1.4684,-1.45545E-005
-0.4,0.00001,2.50308,1.4684,-1.45545E-005
-0.5,0.0000001,2.50308,2.43758,1.73249E-007
-0.5,1.1721E-007,2.50308,2.43328,1.72838E-007
-0.5,1.37382E-007,2.50308,2.42892,1.74414E-007
-0.5,0.000000161,2.50308,2.42396,1.77682E-007
-0.5,1.88739E-007,2.50308,2.41861,0.000000182
-0.5,2.21222E-007,2.50308,2.41273,1.86607E-007
-0.5,2.59294E-007,2.50308,2.406,1.89803E-007
-0.5,3.0392E-007,2.50308,2.39842,1.91316E-007
-0.5,3.56225E-007,2.50308,2.3904,2.03433E-007
-0.5,4.17532E-007,2.50308,2.38084,0.000000202
-0.5,4.8939E-007,2.50308,2.37063,2.10209E-007
-0.5,5.73615E-007,2.50308,2.35864,2.19772E-007
-0.5,6.72336E-007,2.50308,2.34577,2.29547E-007
-0.5,0.000000788,2.50308,2.33058,2.42547E-007
-0.5,9.23671E-007,2.50308,2.3131,2.60871E-007
-0.5,1.08264E-006,2.50308,2.29247,2.78051E-007
-0.5,0.000001269,2.50308,2.2682,2.93202E-007
-0.5,1.48735E-006,2.50308,2.23946,3.14537E-007
-0.5,1.74333E-006,2.50308,2.20472,3.43525E-007
-0.5,2.04336E-006,2.50308,2.16441,3.80512E-007
-0.5,0.000002395,2.50308,2.1158,4.18705E-007
-0.5,2.80722E-006,2.50308,2.05979,4.72544E-007
-0.5,3.29034E-006,2.50308,1.9953,5.4081E-007
-0.5,3.85662E-006,2.50308,1.92162,6.24325E-007
-0.5,4.52035E-006,2.50308,1.83842,0.000000724
-0.5,5.29832E-006,2.50308,1.74614,8.53078E-007
-0.5,6.21017E-006,2.50308,1.64272,9.99223E-007
-0.5,0.000007279,2.50308,1.52977,0.000001181
-0.5,8.53168E-006,2.50308,1.4684,-1.45543E-005
-0.5,0.00001,2.50308,1.4684,-1.45543E-005
-0.6,0.0000001,2.50308,2.43292,1.70115E-007
-0.6,1.1721E-007,2.50308,2.42882,1.79272E-007
-0.6,1.37382E-007,2.50308,2.42383,1.78803E-007
-0.6,0.000000161,2.50308,2.41905,1.84112E-007
-0.6,1.88739E-007,2.50308,2.41332,1.85545E-007
-0.6,2.21222E-007,2.50308,2.40653,1.86852E-007
-0.6,2.59294E-007,2.50308,2.39958,1.90909E-007
-0.6,3.0392E-007,2.50308,2.39207,1.98081E-007
-0.6,3.56225E-007,2.50308,2.38338,2.02307E-007
-0.6,4.17532E-007,2.50308,2.3743,2.11215E-007
-0.6,4.8939E-007,2.50308,2.36367,2.19345E-007
-0.6,5.73615E-007,2.50308,2.35195,2.30495E-007
-0.6,6.72336E-007,2.50308,2.33833,2.37253E-007
-0.6,0.000000788,2.50308,2.32345,0.000000252
-0.6,9.23671E-007,2.50308,2.30607,2.65901E-007
-0.6,1.08264E-006,2.50308,2.28572,2.80263E-007
-0.6,0.000001269,2.50308,2.2615,2.96294E-007
-0.6,1.48735E-006,2.50308,2.23373,3.20095E-007
-0.6,1.74333E-006,2.50308,2.20029,3.54145E-007
-0.6,2.04336E-006,2.50308,2.1604,3.84442E-007
-0.6,0.000002395,2.50308,2.11251,0.000000419
-0.6,2.80722E-006,2.50308,2.05734,4.73758E-007
-0.6,3.29034E-006,2.50308,1.99339,0.000000541
-0.6,3.85662E-006,2.50308,1.92009,6.26378E-007
-0.6,4.52035E-006,2.50308,1.83709,7.24935E-007
-0.6,5.29832E-006,2.50308,1.74457,8.50669E-007
-0.6,6.21017E-006,2.50308,1.64175,1.00059E-006
-0.6,0.000007279,2.50308,1.52914,1.18554E-006
-0.6,8.53168E-006,2.50308,1.46835,-1.45549E-005
-0.6,0.00001,2.50308,1.46835,-1.45549E-005
-0.7,0.0000001,2.50308,2.42884,1.82897E-007
-0.7,1.1721E-007,2.50308,2.42416,1.77315E-007
-0.7,1.37382E-007,2.50308,2.41948,1.84838E-007
-0.7,0.000000161,2.50308,2.41402,1.88235E-007
-0.7,1.88739E-007,2.50308,2.40779,1.8485E-007
-0.7,2.21222E-007,2.50308,2.40071,1.92456E-007
-0.7,2.59294E-007,2.50308,2.39381,1.95859E-007
-0.7,3.0392E-007,2.50308,2.38536,1.98675E-007
-0.7,3.56225E-007,2.50308,2.37687,2.10387E-007
-0.7,4.17532E-007,2.50308,2.36752,2.15256E-007
-0.7,4.8939E-007,2.50308,2.35666,2.2515E-007
-0.7,5.73615E-007,2.50308,2.34483,2.33061E-007
-0.7,6.72336E-007,2.50308,2.33145,2.3811E-007
-0.7,0.000000788,2.50308,2.3165,2.55112E-007
-0.7,9.23671E-007,2.50308,2.29877,2.6983E-007
-0.7,1.08264E-006,2.50308,2.27851,2.78707E-007
-0.7,0.000001269,2.50308,2.25535,3.09613E-007
-0.7,1.48735E-006,2.50308,2.22741,3.29297E-007
-0.7,1.74333E-006,2.50308,2.19475,3.5315E-007
-0.7,2.04336E-006,2.50308,2.15627,3.90643E-007
-0.7,0.000002395,2.50308,2.10985,4.28787E-007
-0.7,2.80722E-006,2.50308,2.05538,4.82332E-007
-0.7,3.29034E-006,2.50308,1.99183,5.47856E-007
-0.7,3.85662E-006,2.50308,1.91905,6.33824E-007
-0.7,4.52035E-006,2.50308,1.8363,7.31124E-007
-0.7,5.29832E-006,2.50308,1.74347,8.52052E-007
-0.7,6.21017E-006,2.50308,1.6409,1.00385E-006
-0.7,0.000007279,2.50308,1.52851,0.00000119
-0.7,8.53168E-006,2.50308,1.46832,-1.45552E-005
-0.7,0.00001,2.50308,1.46832,-1.45552E-005
-0.8,0.0000001,2.50308,2.42411,1.77941E-007
-0.8,1.1721E-007,2.50308,2.41923,1.78488E-007
-0.8,1.37382E-007,2.50308,2.4142,1.80054E-007
-0.8,0.000000161,2.50308,2.40851,1.88575E-007
-0.8,1.88739E-007,2.50308,2.40233,1.88364E-007
-0.8,2.21222E-007,2.50308,2.39522,1.90938E-007
-0.8,2.59294E-007,2.50308,2.388,1.98795E-007
-0.8,3.0392E-007,2.50308,2.38015,2.09841E-007
-0.8,3.56225E-007,2.50308,2.37121,2.11189E-007
-0.8,4.17532E-007,2.50308,2.36165,2.20654E-007
-0.8,4.8939E-007,2.50308,2.35108,2.32456E-007
-0.8,5.73615E-007,2.50308,2.33892,2.37785E-007
-0.8,6.72336E-007,2.50308,2.32528,2.45097E-007
-0.8,0.000000788,2.50308,2.31009,2.59492E-007
-0.8,9.23671E-007,2.50308,2.29251,2.72375E-007
-0.8,1.08264E-006,2.50308,2.27248,2.88326E-007
-0.8,0.000001269,2.50308,2.24897,3.09773E-007
-0.8,1.48735E-006,2.50308,2.22134,3.30062E-007
-0.8,1.74333E-006,2.50308,2.18962,3.63447E-007
-0.8,2.04336E-006,2.50308,2.1515,4.04324E-007
-0.8,0.000002395,2.50308,2.10597,4.34944E-007
-0.8,2.80722E-006,2.50308,2.05203,4.83382E-007
-0.8,3.29034E-006,2.50308,1.98907,5.47616E-007
-0.8,3.85662E-006,2.50308,1.91705,6.32585E-007
-0.8,4.52035E-006,2.50308,1.83427,7.30735E-007
-0.8,5.29832E-006,2.50308,1.74185,8.51921E-007
-0.8,6.21017E-006,2.50308,1.63915,1.00027E-006
-0.8,0.000007279,2.50308,1.52687,1.18655E-006
-0.8,8.53168E-006,2.50308,1.46839,-1.45532E-005
-0.8,0.00001,2.50308,1.46839,-1.45532E-005
-0.9,0.0000001,2.50308,2.41954,1.80918E-007
-0.9,1.1721E-007,2.50308,2.41507,1.89588E-007
-0.9,1.37382E-007,2.50308,2.40964,1.87778E-007
-0.9,0.000000161,2.50308,2.40374,1.93651E-007
-0.9,1.88739E-007,2.50308,2.39707,1.90525E-007
-0.9,2.21222E-007,2.50308,2.39011,1.99822E-007
-0.9,2.59294E-007,2.50308,2.38262,2.07578E-007
-0.9,3.0392E-007,2.50308,2.37419,2.12274E-007
-0.9,3.56225E-007,2.50308,2.36539,2.1263E-007
-0.9,4.17532E-007,2.50308,2.35543,2.20202E-007
-0.9,4.8939E-007,2.50308,2.34549,0.000000233
-0.9,5.73615E-007,2.50308,2.33318,2.42385E-007
-0.9,6.72336E-007,2.50308,2.3198,2.49133E-007
-0.9,0.000000788,2.50308,2.30426,2.63622E-007
-0.9,9.23671E-007,2.50308,2.28656,2.81441E-007
-0.9,1.08264E-006,2.50308,2.26655,0.000000291
-0.9,0.000001269,2.50308,2.24303,0.000000311
-0.9,1.48735E-006,2.50308,2.21542,3.31686E-007
-0.9,1.74333E-006,2.50308,2.18377,3.72079E-007
-0.9,2.04336E-006,2.50308,2.14594,3.9714E-007
-0.9,0.000002395,2.50308,2.10201,4.42633E-007
-0.9,2.80722E-006,2.50308,2.04923,4.9345E-007
-0.9,3.29034E-006,2.50308,1.98677,5.53258E-007
-0.9,3.85662E-006,2.50308,1.91533,6.37918E-007
-0.9,4.52035E-006,2.50308,1.83292,7.35432E-007
-0.9,5.29832E-006,2.50308,1.74124,8.62211E-007
-0.9,6.21017E-006,2.50308,1.63811,1.00512E-006
-0.9,0.000007279,2.50308,1.5258,1.18981E-006
-0.9,8.53168E-006,2.50308,1.46831,-1.45553E-005
-0.9,0.00001,2.50308,1.46831,-1.45553E-005
-1,0.0000001,2.50308,2.41497,1.84795E-007
-1,1.1721E-007,2.50308,2.41031,1.90873E-007
-1,1.37382E-007,2.50308,2.4046,1.89519E-007
-1,0.000000161,2.50308,2.39879,1.97557E-007
-1,1.88739E-007,2.50308,2.39165,1.94444E-007
-1,2.21222E-007,2.50308,2.38473,2.04473E-007
-1,2.59294E-007,2.50308,2.37714,2.03708E-007
-1,3.0392E-007,2.50308,2.36903,2.08627E-007
-1,3.56225E-007,2.50308,2.36013,2.17791E-007
-1,4.17532E-007,2.50308,2.35071,2.29844E-007
-1,4.8939E-007,2.50308,2.33977,0.000000234
-1,5.73615E-007,2.50308,2.32795,2.44905E-007
-1,6.72336E-007,2.50308,2.31413,2.52581E-007
-1,0.000000788,2.50308,2.29892,2.66762E-007
-1,9.23671E-007,2.50308,2.28153,2.86755E-007
-1,1.08264E-006,2.50308,2.26132,2.99218E-007
-1,0.000001269,2.50308,2.23733,3.15621E-007
-1,1.48735E-006,2.50308,2.21053,0.000000347
-1,1.74333E-006,2.50308,2.17832,3.69916E-007
-1,2.04336E-006,2.50308,2.14049,4.02067E-007
-1,0.000002395,2.50308,2.0971,4.44668E-007
-1,2.80722E-006,2.50308,2.045,4.93155E-007
-1,3.29034E-006,2.50308,1.98427,5.61101E-007
-1,3.85662E-006,2.50308,1.91302,6.42648E-007
-1,4.52035E-006,2.50308,1.83133,7.39685E-007
-1,5.29832E-006,2.50308,1.73909,8.59553E-007
-1,6.21017E-006,2.50308,1.63655,1.00705E-006
-1,0.000007279,2.50308,1.52493,1.19584E-006
-1,8.53168E-006,2.50308,1.46837,-1.45544E-005
-1,0.00001,2.50308,1.46837,-1.45544E-005
-1.1,0.0000001,2.50308,2.4107,1.89353E-007
-1.1,1.1721E-007,2.50308,2.40524,1.8873E-007
-1.1,1.37382E-007,2.50308,2.39938,1.90419E-007
-1.1,0.000000161,2.50308,2.39362,1.91419E-007
-1.1,1.88739E-007,2.50308,2.38649,1.95461E-007
-1.1,2.21222E-007,2.50308,2.38021,2.06314E-007
-1.1,2.59294E-007,2.50308,2.37219,0.000000209
-1.1,3.0392E-007,2.50308,2.36442,2.18462E-007
-1.1,3.56225E-007,2.50308,2.35532,2.2178E-007
-1.1,4.17532E-007,2.50308,2.34562,0.00000023
-1.1,4.8939E-007,2.50308,2.3354,2.39099E-007
-1.1,5.73615E-007,2.50308,2.32327,2.50657E-007
-1.1,6.72336E-007,2.50308,2.3097,2.60189E-007
-1.1,0.000000788,2.50308,2.29414,2.74846E-007
-1.1,9.23671E-007,2.50308,2.27621,2.87087E-007
-1.1,1.08264E-006,2.50308,2.25553,2.98133E-007
-1.1,0.000001269,2.50308,2.23243,3.27055E-007
-1.1,1.48735E-006,2.50308,2.20489,3.48711E-007
-1.1,1.74333E-006,2.50308,2.17313,3.77516E-007
-1.1,2.04336E-006,2.50308,2.13505,0.000000405
-1.1,0.000002395,2.50308,2.09265,4.59096E-007
-1.1,2.80722E-006,2.50308,2.04107,0.000000501
-1.1,3.29034E-006,2.50308,1.98038,5.60435E-007
-1.1,3.85662E-006,2.50308,1.90997,6.39261E-007
-1.1,4.52035E-006,2.50308,1.82891,7.39314E-007
-1.1,5.29832E-006,2.50308,1.73721,8.59579E-007
-1.1,6.21017E-006,2.50308,1.63551,1.01276E-006
-1.1,0.000007279,2.50308,1.52272,1.1894E-006
-1.1,8.53168E-006,2.50308,1.46835,-1.45542E-005
-1.1,0.00001,2.50308,1.46835,-1.45542E-005
-1.2,0.0000001,2.50308,2.40684,1.90214E-007
-1.2,1.1721E-007,2.50308,2.40145,0.000000191
-1.2,1.37382E-007,2.50308,2.39572,1.91766E-007
-1.2,0.000000161,2.50308,2.38958,1.94406E-007
-1.2,1.88739E-007,2.50308,2.38291,2.02924E-007
-1.2,2.21222E-007,2.50308,2.37602,2.08509E-007
-1.2,2.59294E-007,2.50308,2.36851,2.15934E-007
-1.2,3.0392E-007,2.50308,2.36069,2.19812E-007
-1.2,3.56225E-007,2.50308,2.35143,2.23219E-007
-1.2,4.17532E-007,2.50308,2.34172,2.30633E-007
-1.2,4.8939E-007,2.50308,2.33098,2.41937E-007
-1.2,5.73615E-007,2.50308,2.31906,2.5152E-007
-1.2,6.72336E-007,2.50308,2.30523,2.62121E-007
-1.2,0.000000788,2.50308,2.2897,2.76282E-007
-1.2,9.23671E-007,2.50308,2.27186,2.86826E-007
-1.2,1.08264E-006,2.50308,2.25168,3.00726E-007
-1.2,0.000001269,2.50308,2.22815,0.000000326
-1.2,1.48735E-006,2.50308,2.20109,3.50089E-007
-1.2,1.74333E-006,2.50308,2.16872,0.000000374
-1.2,2.04336E-006,2.50308,2.13131,0.000000416
-1.2,0.000002395,2.50308,2.08866,4.64116E-007
-1.2,2.80722E-006,2.50308,2.03692,5.01647E-007
-1.2,3.29034E-006,2.50308,1.97794,5.66323E-007
-1.2,3.85662E-006,2.50308,1.90764,6.43386E-007
-1.2,4.52035E-006,2.50308,1.82706,7.391E-007
-1.2,5.29832E-006,2.50308,1.73544,8.57302E-007
-1.2,6.21017E-006,2.50308,1.63412,1.0124E-006
-1.2,0.000007279,2.50308,1.52149,1.1904E-006
-1.2,8.53168E-006,2.50308,1.46819,-1.45565E-005
-1.2,0.00001,2.50308,1.46819,-1.45565E-005
-1.3,0.0000001,2.50308,2.40632,1.91198E-007
-1.3,1.1721E-007,2.50308,2.4008,0.000000194
-1.3,1.37382E-007,2.50308,2.39451,1.88676E-007
-1.3,0.000000161,2.50308,2.38835,1.95299E-007
-1.3,1.88739E-007,2.50308,2.38173,1.95122E-007
-1.3,2.21222E-007,2.50308,2.3749,2.11436E-007
-1.3,2.59294E-007,2.50308,2.36692,2.04655E-007
-1.3,3.0392E-007,2.50308,2.35917,0.000000217
-1.3,3.56225E-007,2.50308,2.35048,0.000000227
-1.3,4.17532E-007,2.50308,2.34069,2.3224E-007
-1.3,4.8939E-007,2.50308,2.32994,2.40826E-007
-1.3,5.73615E-007,2.50308,2.31778,2.47081E-007
-1.3,6.72336E-007,2.50308,2.30417,2.59592E-007
-1.3,0.000000788,2.50308,2.28872,2.74222E-007
-1.3,9.23671E-007,2.50308,2.27111,2.91413E-007
-1.3,1.08264E-006,2.50308,2.25073,3.09151E-007
-1.3,0.000001269,2.50308,2.22712,3.29715E-007
-1.3,1.48735E-006,2.50308,2.19931,0.00000035
-1.3,1.74333E-006,2.50308,2.16819,3.81708E-007
-1.3,2.04336E-006,2.50308,2.13111,4.15512E-007
-1.3,0.000002395,2.50308,2.08711,4.52131E-007
-1.3,2.80722E-006,2.50308,2.03682,5.05936E-007
-1.3,3.29034E-006,2.50308,1.97674,5.63273E-007
-1.3,3.85662E-006,2.50308,1.90726,6.42585E-007
-1.3,4.52035E-006,2.50308,1.82701,7.44226E-007
-1.3,5.29832E-006,2.50308,1.73535,8.60527E-007
-1.3,6.21017E-006,2.50308,1.634,1.01453E-006
-1.3,0.000007279,2.50308,1.52145,1.19363E-006
-1.3,8.53168E-006,2.50308,1.46827,-1.45556E-005
-1.3,0.00001,2.50308,1.46827,-1.45556E-005
-1.4,0.0000001,2.50308,2.40628,1.84595E-007
-1.4,1.1721E-007,2.50308,2.40084,1.92747E-007
-1.4,1.37382E-007,2.50308,2.39466,1.91798E-007
-1.4,0.000000161,2.50308,2.38891,1.99544E-007
-1.4,1.88739E-007,2.50308,2.38179,2.0253E-007
-1.4,2.21222E-007,2.50308,2.37512,2.07417E-007
-1.4,2.59294E-007,2.50308,2.36763,2.16407E-007
-1.4,3.0392E-007,2.50308,2.35946,2.26473E-007
-1.4,3.56225E-007,2.50308,2.35086,2.32137E-007
-1.4,4.17532E-007,2.50308,2.34097,2.32336E-007
-1.4,4.8939E-007,2.50308,2.3301,0.000000244
-1.4,5.73615E-007,2.50308,2.31774,2.49826E-007
-1.4,6.72336E-007,2.50308,2.30391,0.00000026
-1.4,0.000000788,2.50308,2.28913,2.75805E-007
-1.4,9.23671E-007,2.50308,2.27127,2.91784E-007
-1.4,1.08264E-006,2.50308,2.2507,3.04415E-007
-1.4,0.000001269,2.50308,2.22745,3.32891E-007
-1.4,1.48735E-006,2.50308,2.19945,3.50847E-007
-1.4,1.74333E-006,2.50308,2.16746,3.7591E-007
-1.4,2.04336E-006,2.50308,2.13088,4.19646E-007
-1.4,0.000002395,2.50308,2.08702,4.59262E-007
-1.4,2.80722E-006,2.50308,2.03691,5.08134E-007
-1.4,3.29034E-006,2.50308,1.97711,5.66883E-007
-1.4,3.85662E-006,2.50308,1.90726,6.40584E-007
-1.4,4.52035E-006,2.50308,1.82708,7.39148E-007
-1.4,5.29832E-006,2.50308,1.7355,8.59403E-007
-1.4,6.21017E-006,2.50308,1.63482,1.0221E-006
-1.4,0.000007279,2.50308,1.52179,0.000001192
-1.4,8.53168E-006,2.50308,1.46862,-1.45506E-005
-1.4,0.00001,2.50308,1.46862,-1.45506E-005
-1.5,0.0000001,2.50308,2.40674,1.87739E-007
-1.5,1.1721E-007,2.50308,2.40139,1.9176E-007
-1.5,1.37382E-007,2.50308,2.39547,1.94392E-007
-1.5,0.000000161,2.50308,2.38894,1.96512E-007
-1.5,1.88739E-007,2.50308,2.38234,2.01271E-007
-1.5,2.21222E-007,2.50308,2.37515,2.04639E-007
-1.5,2.59294E-007,2.50308,2.36805,2.12686E-007
-1.5,3.0392E-007,2.50308,2.35991,2.1808E-007
-1.5,3.56225E-007,2.50308,2.3509,0.000000222
-1.5,4.17532E-007,2.50308,2.34123,2.33607E-007
-1.5,4.8939E-007,2.50308,2.33054,2.4482E-007
-1.5,5.73615E-007,2.50308,2.31845,2.48674E-007
-1.5,6.72336E-007,2.50308,2.30458,2.63629E-007
-1.5,0.000000788,2.50308,2.28918,0.000000271
-1.5,9.23671E-007,2.50308,2.27158,2.87235E-007
-1.5,1.08264E-006,2.50308,2.25131,3.07869E-007
-1.5,0.000001269,2.50308,2.22728,3.29716E-007
-1.5,1.48735E-006,2.50308,2.20044,0.000000352
-1.5,1.74333E-006,2.50308,2.16842,3.74837E-007
-1.5,2.04336E-006,2.50308,2.131,4.07608E-007
-1.5,0.000002395,2.50308,2.0881,4.58559E-007
-1.5,2.80722E-006,2.50308,2.03756,5.10481E-007
-1.5,3.29034E-006,2.50308,1.97751,5.64484E-007
-1.5,3.85662E-006,2.50308,1.9078,6.41876E-007
-1.5,4.52035E-006,2.50308,1.82799,7.43099E-007
-1.5,5.29832E-006,2.50308,1.73597,0.000000857
-1.5,6.21017E-006,2.50308,1.63454,0.000001011
-1.5,0.000007279,2.50308,1.52169,1.18548E-006
-1.5,8.53168E-006,2.50308,1.46863,-1.45498E-005
-1.5,0.00001,2.50308,1.46863,-1.45498E-005
