time mod_vpre_vbatt mod_vrep_vclamp9
0.0 -3.81214190637961e-88 -1.65328907027713e-84
2.87375768514404e-10 0.00206709238483669 0.00177302183151738
3.44668162755154e-10 0.00253897915104416 0.00217793777635783
4.59252951236654e-10 0.0035735703284098 0.00306568290579115
6.03601888871817e-10 0.00506274364648871 0.00434286506355858
7.68483611192355e-10 0.00688553282237041 0.00590469542535845
9.16362352890094e-10 0.0085696069532744 0.00734626236534526
1.10984367044618e-09 0.0107998373776365 0.00925286803639482
1.38021510887031e-09 0.0139357190563403 0.0119299476292279
1.72599720061032e-09 0.0179575767833806 0.0153565065665121
2.16369940868338e-09 0.0230561561598254 0.0196901086845323
2.73252704974749e-09 0.0296917690567389 0.025313132849665
3.46162970419608e-09 0.0382114934010789 0.0325069462275285
4.3903666974453e-09 0.0490858089250059 0.0416496069242893
5.58596374606305e-09 0.0631175257273372 0.0533873512138051
7.10589976047868e-09 0.0810036155935243 0.0682624975604027
8.94778054950879e-09 0.10274159344296 0.0862265098123436
1.11886838370775e-08 0.129269082536312 0.1080039532837
1.39255376514375e-08 0.161767108816858 0.134504780566969
1.71607950440918e-08 0.2002966141216 0.165723128541587
2.10353100263582e-08 0.246562616686643 0.202993315584709
2.56215851604207e-08 0.301453132379316 0.246993777972025
3.12089694917539e-08 0.368446424441739 0.300487560808366
3.81395865992393e-08 0.451652237126818 0.366740466508721
4.71872937812465e-08 0.560352639054696 0.45312690358934
5.8443750085592e-08 0.695621706498276 0.560480180092519
6.19390545608422e-08 0.737619673390139 0.593782806853961
6.89296635113427e-08 0.821578604102903 0.660236129310822
7.59748331054612e-08 0.906136196090379 0.726855929761435
8.23047128310403e-08 0.982163076284494 0.786527680369396
8.52038901924006e-08 1.01699605437291 0.813842177913076
9.10022449151212e-08 1.08665380896185 0.868446957857146
9.88603669365492e-08 1.18104877850848 0.942393262397222
1.1033106766579e-07 1.31881818921974 1.05017122466541
1.22826007214348e-07 1.46887163199187 1.16732708532706
1.26799903901577e-07 1.51659118383801 1.20453321776702
1.34747697276033e-07 1.61202758267601 1.27886227571113
1.48388122816357e-07 1.77580379916147 1.40611822029541
1.63376006703649e-07 1.9557013442764 1.54521596213586
1.75058921757568e-07 2.09586957943982 1.65277290490286
1.87813652480359e-07 2.2488722287164 1.76905196124537
2.00071719645576e-07 2.39590926821978 1.87960408811807
2.13004938226263e-07 2.55103887251167 1.99494258318976
2.38871375387639e-07 2.86127285928851 2.22150445449684
2.60517062804662e-07 3.12084328285838 2.40672902431426
2.78372456185282e-07 3.33494333903457 2.55640814541151
2.95519065627579e-07 3.54054763301098 2.69739898448381
3.22522748368053e-07 3.8643741982782 2.91376141347943
3.41485580669484e-07 4.09179288335004 3.06136472003145
3.55086549969477e-07 4.25494043236592 3.16495283829572
3.58653797146941e-07 4.29773850955122 3.19179934587461
3.65788291501868e-07 4.38333570395276 3.24507979254057
3.77218369676053e-07 4.52043720160185 3.32927593983081
3.86476972412592e-07 4.63147824248899 3.39642790796337
3.98070019919455e-07 4.77050968562471 3.47916727482087
4.02436741359477e-07 4.82287981905054 3.50994237717221
4.11170184239522e-07 4.92761688639561 3.5708489896522
4.15536905679544e-07 4.97998720865988 3.60098255416093
4.24270348559589e-07 5.08472555408556 3.66062700791643
4.28637069999611e-07 5.13709630161779 3.69014402991583
4.37370512879656e-07 5.24184033512289 3.74869516826786
4.5040277684121e-07 5.39817260968109 3.83595859284034
4.54625394031011e-07 5.4488363475865 3.86437901063331
4.63070628410613e-07 5.55011977325251 3.92383620226844
4.77732198058314e-07 5.72579569696998 4.0594361660988
4.94976250669375e-07 5.93202111003459 4.34163430667492
5.11309873344023e-07 6.12751372344357 4.74416132175503
5.16958727104625e-07 6.19519982691586 4.90311667151786
5.19783153984926e-07 6.2290634688093 4.98399835955368
5.25432007745528e-07 6.29678508257921 5.14736610947955
5.36729715266732e-07 6.43224309495104 5.47677849122542
5.39288737133638e-07 6.4628896209281 5.55120828978123
5.44406780867451e-07 6.5242565325859 5.70009884474526
5.46870189956149e-07 6.5537836098507 5.77182207405499
5.51797008133545e-07 6.61287909308476 5.91531936272255
5.60331858250142e-07 6.71523711830508 6.16316563746698
5.69515439742353e-07 6.82542680735526 6.42755645424926
5.78347297772336e-07 6.93140946737965 6.67545683038656
5.88028850572425e-07 7.04774868556477 6.92172239845984
5.91141374621818e-07 7.08521206485364 6.98998601810004
5.97366422720605e-07 7.16012409176471 7.10488315389063
6.05883844591704e-07 7.26245012234578 7.23185427337777
6.08312731211617e-07 7.29160052009038 7.26420401343361
6.13170504451443e-07 7.34986713153504 7.32714527840562
6.21412484025197e-07 7.44869155669618 7.43091672492267
6.30800777983439e-07 7.56121823331499 7.54690368793474
6.3549492496256e-07 7.6174769358344 7.60444145938988
6.44883218920802e-07 7.72995005986655 7.71883214684514
6.5536641058084e-07 7.85512049256491 7.84421077001417
6.57243336304592e-07 7.8762944907911 7.86346473965774
6.58176978539715e-07 7.88600179366118 7.87056663556153
6.59225921952845e-07 7.89617417025934 7.87569316433765
6.60070674421841e-07 7.90391503921887 7.87765245084377
6.61252041919936e-07 7.9144141043766 7.8779939906693
6.62143537990671e-07 7.92225618097781 7.87702286008503
6.63328789611005e-07 7.93274738472282 7.87511290959156
6.64674589550559e-07 7.94481479242725 7.87291913452038
6.67353114152545e-07 7.969469351083 7.87060432299018
6.70813977756698e-07 8.00239883331908 7.8725316794167
6.745517939672e-07 8.03902681557075 7.87981004031223
6.7895873684657e-07 8.08320805067409 7.89274575463919
6.83901553857879e-07 8.13370171441432 7.91042331138571
6.90419239945691e-07 8.20122268908497 7.93523967581489
6.97449291660494e-07 8.27493009333911 7.96058790138841
7.08104001826223e-07 8.38838863794791 7.99263904070635
7.09211587846702e-07 8.40032010834242 7.99550363232196
7.11426759887658e-07 8.42426102698004 8.0010128238293
7.12534345908136e-07 8.43627597605942 8.00366872106848
7.14749517949093e-07 8.46037964267031 8.00879135724783
7.15857103969571e-07 8.47247158382521 8.0112623093158
7.18072276010528e-07 8.49672729302463 8.0160331650181
7.22502620092441e-07 8.54604202442163 8.02805377691007
7.23607030575896e-07 8.55861605155355 8.03229407857071
7.25815851542808e-07 8.58375110168537 8.04186523824584
7.2847505917896e-07 8.61314364530826 8.05030160932326
7.33056157849742e-07 8.66378023943252 8.0575697031812
7.36494139597838e-07 8.70214297837329 8.06145154378576
7.42332916444347e-07 8.76773783963722 8.06879840232676
7.5037735865982e-07 8.85858491973442 8.07708710313562
7.62555851699083e-07 8.99754247056904 8.08762166005871
7.80377781495377e-07 9.20293370089808 8.0998477154092
7.9941673225838e-07 9.42462381013424 8.10930224331528
8.32370658567875e-07 9.81204953520357 8.12038266348485
8.62276950942476e-07 10.1675539734021 8.12422069533985
9.22089535691677e-07 10.8909390858317 8.11345643049291
9.51872275429102e-07 11.253405612012 8.10658815282908
9.85349558002443e-07 11.6599005402455 8.09860611627734
1e-06 11.8375490809497 8.09640691614974
1.00183130524969e-06 11.8405575339645 8.08801027166538
1.00549391574908e-06 11.844469026429 8.07967591358548
1.00722038698312e-06 11.8459339035758 8.08037659506286
1.01067332945118e-06 11.8483586906345 8.07832785159242
1.01190898652049e-06 11.8490726766084 8.07624541892758
1.0143803006591e-06 11.8508168873083 8.07307287699466
1.01932292893632e-06 11.8538892237478 8.06904687119998
1.02064691984031e-06 11.8546680154597 8.06807938364936
1.02329490164828e-06 11.8560721843034 8.06575887578622
1.02859086526423e-06 11.8588078446681 8.06167342178359
1.03918279249612e-06 11.8634065236257 8.05482244195582
1.05688713184145e-06 11.8693462973352 8.04567247290418
1.08078821225724e-06 11.8747676670232 8.03721876948961
1.10912053960554e-06 11.8787837126165 8.0308074397801
1.14201072432599e-06 11.8814395390004 8.02651593259196
1.18009236708684e-06 11.8831055617358 8.02381913881444
1.22717853899797e-06 11.8840291686037 8.02231092904073
1.28533080546216e-06 11.8845288328758 8.02150518591372
1.35967606050707e-06 11.884653191176 8.02132423576672
1.46590118977376e-06 11.8846516352049 8.02122154425307
1.56260056528974e-06 11.8845602993255 8.02134475036861
1.6022490021066e-06 11.8845810989134 8.02127495996871
1.68154587574034e-06 11.8845363606364 8.0213926937961
1.77859312386806e-06 11.8845454028643 8.02133121605161
1.95001066506469e-06 11.884481231599 8.02146459203918
2.13075310795778e-06 11.8844739970541 8.02140946004795
2.40074466811232e-06 11.8844022942056 8.02154259218548
2.771104639006e-06 11.8843764682123 8.02149320821263
3.1885019272212e-06 11.8843006604871 8.02161701480189
3.30609067693129e-06 11.88431558079 8.02153159372624
3.36488505178633e-06 11.8842868533655 8.02162610402319
3.48247380149641e-06 11.88431108549 8.02154190891888
3.69318725080849e-06 11.8842915546757 8.02163911655981
3.79209216581508e-06 11.8843101698215 8.02155388802641
3.98990199582826e-06 11.8842895515984 8.02164650889777
4.28206859984601e-06 11.8843078493103 8.02156897724439
4.8634911485465e-06 11.884289017407 8.02165795381147
5.67175961286533e-06 11.8843119556105 8.02158454079702
6.64463738441796e-06 11.8842992602634 8.0216641150109
7.81423311988414e-06 11.8843273906441 8.02158666995874
