freq	Mag	Phase
4.2147E+07	0.0602948	9.1123E+01
4.2446E+07	0.066030258	1.0501E+02
4.2745E+07	0.05874443	1.1138E+02
4.3044E+07	0.047370119	1.1386E+02
4.3342E+07	0.044872326	1.3061E+02
4.3641E+07	0.037647788	1.3695E+02
4.3940E+07	0.036015059	1.5896E+02
4.4239E+07	0.039151736	1.6867E+02
4.4538E+07	0.042250831	1.7739E+02
4.4837E+07	0.049228827	-1.6547E+02
4.5136E+07	0.066483404	-1.6784E+02
4.5435E+07	0.065015133	-1.5087E+02
4.5734E+07	0.070029593	-1.4441E+02
4.6033E+07	0.080495139	-1.3815E+02
4.6332E+07	0.092253105	-1.3941E+02
4.6630E+07	0.098800248	-1.4022E+02
4.6929E+07	0.100214242	-1.3599E+02
4.7228E+07	0.112213275	-1.3104E+02
4.7527E+07	0.118585353	-1.3105E+02
4.7826E+07	0.129308718	-1.2867E+02
4.8125E+07	0.128183727	-1.2482E+02
4.8424E+07	0.136992984	-1.2333E+02
4.8723E+07	0.140670806	-1.2353E+02
4.9022E+07	0.147452836	-1.1861E+02
4.9321E+07	0.157190693	-1.1619E+02
4.9620E+07	0.159021272	-1.1297E+02
4.9919E+07	0.169720194	-1.1215E+02
5.0217E+07	0.17612415	-1.0693E+02
5.0516E+07	0.170870753	-1.0882E+02
5.0815E+07	0.189436609	-1.0767E+02
5.1114E+07	0.192620215	-1.0574E+02
5.1413E+07	0.189921288	-1.0344E+02
5.1712E+07	0.206856887	-9.9071E+01
5.2011E+07	0.213150094	-9.7872E+01
5.2310E+07	0.21899863	-9.9060E+01
5.2609E+07	0.222926732	-9.9253E+01
5.2908E+07	0.226507222	-9.7466E+01
5.3207E+07	0.236848222	-9.6393E+01
5.3505E+07	0.248351129	-9.4256E+01
5.3804E+07	0.251334135	-9.2961E+01
5.4103E+07	0.263045401	-9.3678E+01
5.4402E+07	0.262922688	-9.2529E+01
5.4701E+07	0.265386708	-9.0211E+01
5.5000E+07	0.273719768	-9.1441E+01
5.5299E+07	0.282843563	-8.9316E+01
5.5598E+07	0.276602107	-8.6170E+01
5.5897E+07	0.293205694	-8.5806E+01
5.6196E+07	0.290700959	-8.4252E+01
5.6495E+07	0.291752698	-8.4247E+01
5.6793E+07	0.298287417	-8.2278E+01
5.7092E+07	0.310725602	-8.1879E+01
5.7391E+07	0.315913219	-7.8405E+01
5.7690E+07	0.3234533	-7.8001E+01
5.7989E+07	0.330592632	-7.5659E+01
5.8288E+07	0.331687768	-7.4891E+01
5.8587E+07	0.332369565	-7.3257E+01
5.8886E+07	0.33867557	-7.1826E+01
5.9185E+07	0.351413436	-7.2146E+01
5.9484E+07	0.353343299	-6.8197E+01
5.9783E+07	0.364510502	-6.7954E+01
6.0082E+07	0.360659856	-6.5956E+01
6.0380E+07	0.372799712	-6.4489E+01
6.0679E+07	0.367552368	-6.4426E+01
6.0978E+07	0.375693135	-6.2267E+01
6.1277E+07	0.378354266	-6.2035E+01
6.1576E+07	0.382753709	-6.0347E+01
6.1875E+07	0.389535952	-5.6876E+01
6.2174E+07	0.391767809	-5.7288E+01
6.2473E+07	0.399893753	-5.6936E+01
6.2772E+07	0.394316917	-5.5370E+01
6.3071E+07	0.409464002	-5.4099E+01
6.3370E+07	0.407464135	-5.4123E+01
6.3668E+07	0.409135815	-5.1861E+01
6.3967E+07	0.42262235	-5.0103E+01
6.4266E+07	0.423623319	-4.8723E+01
6.4565E+07	0.428637699	-4.6964E+01
6.4864E+07	0.435075209	-4.5495E+01
6.5163E+07	0.435194594	-4.3211E+01
6.5462E+07	0.447637276	-4.2702E+01
6.5761E+07	0.450527424	-4.1567E+01
6.6060E+07	0.464153219	-3.9903E+01
6.6359E+07	0.459965238	-3.8103E+01
6.6658E+07	0.456097251	-3.7159E+01
6.6957E+07	0.468441935	-3.6751E+01
6.7255E+07	0.47112826	-3.5142E+01
6.7554E+07	0.471686289	-3.4473E+01
6.7853E+07	0.47825249	-3.2147E+01
6.8152E+07	0.475700395	-3.0274E+01
6.8451E+07	0.490386351	-3.0178E+01
6.8750E+07	0.490152924	-2.8310E+01
6.9049E+07	0.502145475	-2.7535E+01
6.9348E+07	0.504342366	-2.6776E+01
6.9647E+07	0.511836505	-2.5884E+01
6.9946E+07	0.522777634	-2.3476E+01
7.0245E+07	0.532355707	-2.0912E+01
7.0543E+07	0.532754798	-2.0314E+01
7.0842E+07	0.532985015	-1.9920E+01
7.1141E+07	0.531830014	-1.8006E+01
7.1440E+07	0.545403832	-1.7280E+01
7.1739E+07	0.553341568	-1.6360E+01
7.2038E+07	0.561354299	-1.5397E+01
7.2337E+07	0.572442275	-1.4365E+01
7.2636E+07	0.561229222	-1.2908E+01
7.2935E+07	0.575369621	-1.2540E+01
7.3234E+07	0.593232528	-1.0341E+01
7.3533E+07	0.591571526	-9.1212E+00
7.3832E+07	0.590349635	-9.2968E+00
7.4130E+07	0.608753808	-8.0709E+00
7.4429E+07	0.604429254	-5.5771E+00
7.4728E+07	0.613264359	-4.5484E+00
7.5027E+07	0.61727303	-3.7185E+00
7.5326E+07	0.616641874	-1.9141E+00
7.5625E+07	0.627870818	-8.9452E-01
7.5924E+07	0.638799923	2.1277E+00
7.6223E+07	0.638447833	3.8924E-01
7.6522E+07	0.651760338	1.1485E+00
7.6821E+07	0.655436222	3.3145E+00
7.7120E+07	0.661080673	4.3477E+00
7.7418E+07	0.674532687	6.0711E+00
7.7717E+07	0.691267239	6.5467E+00
7.8016E+07	0.692552984	8.2164E+00
7.8315E+07	0.68443516	9.0193E+00
7.8614E+07	0.689423147	1.0515E+01
7.8913E+07	0.704662565	1.1873E+01
7.9212E+07	0.71067804	1.3089E+01
7.9511E+07	0.701861914	1.4581E+01
7.9810E+07	0.724116982	1.5855E+01
8.0109E+07	0.732753742	1.8551E+01
8.0408E+07	0.73205703	1.7582E+01
8.0707E+07	0.738439224	1.8403E+01
8.1005E+07	0.738437914	1.9376E+01
8.1304E+07	0.740344577	2.0872E+01
8.1603E+07	0.748574763	2.1818E+01
8.1902E+07	0.756104878	2.2069E+01
8.2201E+07	0.774195681	2.4456E+01
8.2500E+07	0.777486694	2.5472E+01
8.2799E+07	0.78857832	2.6412E+01
8.3098E+07	0.789443753	2.7623E+01
8.3397E+07	0.805581479	3.0096E+01
8.3696E+07	0.804836486	3.0323E+01
8.3995E+07	0.810303234	3.1890E+01
8.4293E+07	0.819480626	3.3727E+01
8.4592E+07	0.834820303	3.4043E+01
8.4891E+07	0.83758836	3.5063E+01
8.5190E+07	0.843744232	3.7507E+01
8.5489E+07	0.854445787	3.7664E+01
8.5788E+07	0.872776653	3.9288E+01
8.6087E+07	0.871792216	4.0380E+01
8.6386E+07	0.891974788	4.0243E+01
8.6685E+07	0.896987725	4.1888E+01
8.6984E+07	0.892639942	4.2351E+01
8.7283E+07	0.899062707	4.2954E+01
8.7582E+07	0.895684454	4.4285E+01
8.7880E+07	0.907690088	4.6028E+01
8.8179E+07	0.920870373	4.5651E+01
8.8478E+07	0.91534373	4.6840E+01
8.8777E+07	0.905671109	4.7371E+01
8.9076E+07	0.937209581	4.8453E+01
8.9375E+07	0.944753572	5.1077E+01
8.9674E+07	0.947010728	5.1243E+01
8.9973E+07	0.949682477	5.2964E+01
9.0272E+07	0.949783042	5.2018E+01
9.0571E+07	0.96523372	5.3627E+01
9.0870E+07	0.962718467	5.5379E+01
9.1168E+07	0.990649454	5.5431E+01
9.1467E+07	0.976332945	5.6399E+01
9.1766E+07	0.97968944	5.7507E+01
9.2065E+07	0.98824039	5.8608E+01
9.2364E+07	0.991203882	5.9167E+01
9.2663E+07	0.984815888	6.0523E+01
9.2962E+07	0.999680536	6.1519E+01
9.3261E+07	1.015024589	6.1210E+01
9.3560E+07	1.005321778	6.2613E+01
9.3859E+07	1.014762579	6.3657E+01
9.4158E+07	1.015962511	6.5101E+01
9.4457E+07	1.035551634	6.5224E+01
9.4755E+07	1.030669037	6.6763E+01
9.5054E+07	1.029050781	6.7449E+01
9.5353E+07	1.023656636	6.9338E+01
9.5652E+07	1.046464489	7.1814E+01
9.5951E+07	1.056551033	7.1726E+01
9.6250E+07	1.072654193	7.2833E+01
9.6549E+07	1.062388118	7.2642E+01
9.6848E+07	1.064464936	7.3687E+01
9.7147E+07	1.058951177	7.4480E+01
9.7446E+07	1.058736831	7.5702E+01
9.7745E+07	1.069822962	7.6436E+01
9.8043E+07	1.08240058	7.7127E+01
9.8342E+07	1.068021938	7.7869E+01
9.8641E+07	1.061814016	7.9442E+01
9.8940E+07	1.079971318	7.9695E+01
9.9239E+07	1.075155764	8.1115E+01
9.9538E+07	1.089811306	8.1344E+01
9.9837E+07	1.085333134	8.3700E+01
1.0014E+08	1.101842891	8.4563E+01
1.0043E+08	1.099085066	8.5299E+01
1.0073E+08	1.080871778	8.7385E+01
1.0103E+08	1.10834503	8.7452E+01
1.0133E+08	1.096926073	8.8953E+01
1.0163E+08	1.105354071	8.9755E+01
1.0193E+08	1.121973602	9.1489E+01
1.0223E+08	1.116707381	9.1945E+01
1.0253E+08	1.111001224	9.2860E+01
1.0283E+08	1.126757732	9.4063E+01
1.0313E+08	1.12876713	9.6986E+01
1.0342E+08	1.14348365	9.6531E+01
1.0372E+08	1.134835079	9.7678E+01
1.0402E+08	1.170974699	1.0136E+02
1.0432E+08	1.142064573	1.0021E+02
1.0462E+08	1.15368848	1.0057E+02
1.0492E+08	1.156240509	1.0190E+02
1.0522E+08	1.148981539	1.0391E+02
1.0552E+08	1.173770018	1.0568E+02
1.0582E+08	1.148408811	1.0686E+02
1.0611E+08	1.154910124	1.0600E+02
1.0641E+08	1.169866719	1.0785E+02
1.0671E+08	1.146453995	1.0728E+02
1.0701E+08	1.146757554	1.0946E+02
1.0731E+08	1.170942301	1.1053E+02
1.0761E+08	1.144203698	1.1097E+02
1.0791E+08	1.144545039	1.1377E+02
1.0821E+08	1.151181702	1.1183E+02
1.0851E+08	1.159213893	1.1451E+02
1.0880E+08	1.157494279	1.1767E+02
1.0910E+08	1.191174775	1.1801E+02
1.0940E+08	1.154735193	1.1944E+02
1.0970E+08	1.181271837	1.2138E+02
1.1000E+08	1.167549072	1.2244E+02
